minute_utc,utc_date,utc_hour,session,symbol,ftmo_symbol,ftmo_tick_time_msc,ftmo_server_tick_time_msc,ftmo_bid,ftmo_ask,ftmo_spread_bps,dxz_symbol,dxz_tick_time_msc,dxz_server_tick_time_msc,dxz_bid,dxz_ask,dxz_spread_bps,ftmo_minus_dxz_bps
2026-09-18T08:55:00Z,2026-09-18,8,EUROPE,GBPUSD,GBPUSD,1789721700158,1789732500158,1.33695,1.33697,0.14959311,GBPUSD,1789721703208,1789732503208,1.33692,1.33698,0.44878268,-0.29918957
2026-09-18T08:55:00Z,2026-09-18,8,EUROPE,USDCAD,USDCAD,1789721700005,1789732500005,1.40005,1.40008,0.21427577,USDCAD,1789721700606,1789732500606,1.40003,1.40011,0.5714,-0.35712424
2026-09-18T08:55:00Z,2026-09-18,8,EUROPE,USDJPY,USDJPY,1789721700009,1789732500009,157.791,157.794,0.1901231,USDJPY,1789721700307,1789732500307,157.791,157.801,0.63372963,-0.44360652
2026-09-18T08:55:00Z,2026-09-18,8,EUROPE,XAUUSD,XAUUSD,1789721700009,1789732500009,4391.85,4392.3,1.02457267,XAUUSD,1789721700106,1789732500106,4392.17,4392.6,0.97896701,0.04560566
2026-09-18T08:56:00Z,2026-09-18,8,EUROPE,EURUSD,EURUSD,1789721760761,1789732560761,1.14797,1.14798,0.08710991,EURUSD,1789721760289,1789732560289,1.14797,1.148,0.26132746,-0.17421755
2026-09-18T08:56:00Z,2026-09-18,8,EUROPE,GBPUSD,GBPUSD,1789721760009,1789732560009,1.33677,1.3368,0.22441904,GBPUSD,1789721760086,1789732560086,1.3367499999999999,1.33682,0.52364442,-0.29922538
2026-09-18T08:56:00Z,2026-09-18,8,EUROPE,USDCAD,USDCAD,1789721764958,1789732564958,1.40011,1.40015,0.28568776,USDCAD,1789721760892,1789732560892,1.4001299999999999,1.40021,0.57135919,-0.28567143
2026-09-18T08:56:00Z,2026-09-18,8,EUROPE,USDJPY,USDJPY,1789721760304,1789732560304,157.796,157.799,0.19011708,USDJPY,1789721760439,1789732560439,157.788,157.799,0.69711363,-0.50699655
2026-09-18T08:56:00Z,2026-09-18,8,EUROPE,XAUUSD,XAUUSD,1789721760009,1789732560009,4392.36,4392.78,0.95616006,XAUUSD,1789721760589,1789732560589,4392.37,4392.8,0.97892243,-0.02276237
2026-09-18T08:57:00Z,2026-09-18,8,EUROPE,EURUSD,EURUSD,1789721820007,1789732620007,1.14807,1.14808,0.08710232,EURUSD,1789721820002,1789732620002,1.14806,1.1481,0.34840778,-0.26130545
2026-09-18T08:57:00Z,2026-09-18,8,EUROPE,GBPUSD,GBPUSD,1789721821359,1789732621359,1.33693,1.33696,0.22439218,GBPUSD,1789721820354,1789732620354,1.33686,1.33692,0.44880282,-0.22441064
2026-09-18T08:57:00Z,2026-09-18,8,EUROPE,USDCAD,USDCAD,1789721820016,1789732620016,1.40009,1.40014,0.35711352,USDCAD,1789721820254,1789732620254,1.40007,1.40016,0.64280434,-0.28569082
2026-09-18T08:57:00Z,2026-09-18,8,EUROPE,USDJPY,USDJPY,1789721820759,1789732620759,157.794,157.797,0.19011949,USDJPY,1789721820304,1789732620304,157.789,157.796,0.44362058,-0.25350109
2026-09-18T08:57:00Z,2026-09-18,8,EUROPE,XAUUSD,XAUUSD,1789721820157,1789732620157,4393.92,4394.33,0.93306403,XAUUSD,1789721820304,1789732620304,4393.81,4394.24,0.97860162,-0.04553759
2026-09-18T08:58:00Z,2026-09-18,8,EUROPE,EURUSD,EURUSD,1789721880314,1789732680314,1.14812,1.14813,0.08709853,EURUSD,1789721880308,1789732680308,1.14812,1.14814,0.1741963,-0.08709777
2026-09-18T08:58:00Z,2026-09-18,8,EUROPE,GBPUSD,GBPUSD,1789721880605,1789732680605,1.33704,1.3370600000000001,0.14958304,GBPUSD,1789721881009,1789732681009,1.33704,1.3371,0.4487424,-0.29915936
2026-09-18T08:58:00Z,2026-09-18,8,EUROPE,USDCAD,USDCAD,1789721882410,1789732682410,1.40001,1.40005,0.28570816,USDCAD,1789721880208,1789732680208,1.4,1.40007,0.4999875,-0.21427934
2026-09-18T08:58:00Z,2026-09-18,8,EUROPE,USDJPY,USDJPY,1789721880314,1789732680314,157.835,157.838,0.1900701,USDJPY,1789721880909,1789732680909,157.822,157.828,0.38016791,-0.1900978
2026-09-18T08:58:00Z,2026-09-18,8,EUROPE,XAUUSD,XAUUSD,1789721880314,1789732680314,4393.8,4394.17,0.84206023,XAUUSD,1789721880058,1789732680058,4393.69,4394.12,0.97862835,-0.13656812
2026-09-18T08:59:00Z,2026-09-18,8,EUROPE,EURUSD,EURUSD,1789721941974,1789732741974,1.14815,1.14816,0.08709625,EURUSD,1789721940255,1789732740255,1.14813,1.14817,0.34838653,-0.26129028
2026-09-18T08:59:00Z,2026-09-18,8,EUROPE,GBPUSD,GBPUSD,1789721940312,1789732740312,1.33701,1.33703,0.14958639,GBPUSD,1789721940507,1789732740507,1.337,1.3370600000000001,0.44875582,-0.29916943
2026-09-18T08:59:00Z,2026-09-18,8,EUROPE,USDCAD,USDCAD,1789721941059,1789732741059,1.40005,1.4001000000000001,0.35712373,USDCAD,1789721940355,1789732740355,1.40002,1.40011,0.6428273,-0.28570357
2026-09-18T08:59:00Z,2026-09-18,8,EUROPE,USDJPY,USDJPY,1789721940309,1789732740309,157.814,157.817,0.1900954,USDJPY,1789721940004,1789732740004,157.809,157.817,0.50692909,-0.31683369
2026-09-18T08:59:00Z,2026-09-18,8,EUROPE,XAUUSD,XAUUSD,1789721940158,1789732740158,4392.17,4392.54,0.84237271,XAUUSD,1789721940004,1789732740004,4392.57,4393.0,0.97887786,-0.13650515
2026-09-18T14:00:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740001061,1789750801061,1.1458599999999999,1.14588,0.17453987,EURUSD,1789740000276,1789750800276,1.14587,1.1459,0.26180638,-0.08726651
2026-09-18T14:00:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740001209,1789750801209,1.3339699999999999,1.334,0.22489008,GBPUSD,1789740000175,1789750800175,1.33395,1.334,0.37481962,-0.14992953
2026-09-18T14:00:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740000160,1789750800160,1.40082,1.40088,0.42831138,USDCAD,1789740000727,1789750800727,1.40083,1.40091,0.57107369,-0.14276231
2026-09-18T14:00:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740000306,1789750800306,157.87,157.873,0.19002797,USDJPY,1789740000329,1789750800329,157.869,157.875,0.38005473,-0.19002676
2026-09-18T14:00:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740000005,1789750800005,4349.17,4349.56,0.89668262,XAUUSD,1789740000175,1789750800175,4348.72,4349.14,0.96575479,-0.06907218
2026-09-18T14:01:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740060318,1789750860318,1.14624,1.14626,0.17448201,EURUSD,1789740060483,1789750860483,1.14618,1.14621,0.26173557,-0.08725356
2026-09-18T14:01:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740060040,1789750860040,1.33406,1.33411,0.37478871,GBPUSD,1789740061839,1789750861839,1.33407,1.33411,0.29982985,0.07495887
2026-09-18T14:01:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740061511,1789750861511,1.40084,1.4009,0.42830527,USDCAD,1789740060181,1789750860181,1.40082,1.4009,0.57107777,-0.1427725
2026-09-18T14:01:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740060911,1789750860911,157.854,157.858,0.2533955,USDJPY,1789740060283,1789750860283,157.852,157.857,0.31674738,-0.06335188
2026-09-18T14:01:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740060305,1789750860305,4350.51,4350.96,1.034308,XAUUSD,1789740060032,1789750860032,4350.13,4350.55,0.96544178,0.06886621
2026-09-18T14:02:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740120169,1789750920169,1.14624,1.14627,0.26172187,EURUSD,1789740120329,1789750920329,1.14627,1.1463,0.26171502,6.85e-06
2026-09-18T14:02:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740120021,1789750920021,1.33433,1.33437,0.29977142,GBPUSD,1789740120030,1789750920030,1.33433,1.33441,0.59953386,-0.29976244
2026-09-18T14:02:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740120310,1789750920310,1.40063,1.40069,0.42836948,USDCAD,1789740121430,1789750921430,1.40061,1.40068,0.49976975,-0.07140027
2026-09-18T14:02:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740120908,1789750920908,157.842,157.846,0.25341476,USDJPY,1789740120130,1789750920130,157.849,157.856,0.44345196,-0.19003719
2026-09-18T14:02:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740120163,1789750920163,4350.91,4351.36,1.03421291,XAUUSD,1789740120030,1789750920030,4350.74,4351.17,0.98828878,0.04592413
2026-09-18T14:03:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740181376,1789750981376,1.1463,1.14633,0.26170817,EURUSD,1789740180060,1789750980060,1.14634,1.14636,0.17446679,0.08724138
2026-09-18T14:03:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740180009,1789750980009,1.3345500000000001,1.3345799999999999,0.22479235,GBPUSD,1789740180060,1789750980060,1.3345799999999999,1.33465,0.52449583,-0.29970348
2026-09-18T14:03:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740181053,1789750981053,1.40043,1.40048,0.35702682,USDCAD,1789740180960,1789750980960,1.40041,1.40049,0.57124496,-0.21421813
2026-09-18T14:03:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740180009,1789750980009,157.785,157.794,0.57038016,USDJPY,1789740180060,1789750980060,157.778,157.787,0.57040546,-2.53e-05
2026-09-18T14:03:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740180009,1789750980009,4351.75,4352.17,0.9650824,XAUUSD,1789740180010,1789750980010,4352.42,4352.85,0.98790733,-0.02282493
2026-09-18T14:04:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740240306,1789751040306,1.14627,1.14629,0.17447744,EURUSD,1789740240093,1789751040093,1.14629,1.14632,0.26171045,-0.08723301
2026-09-18T14:04:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740240158,1789751040158,1.33448,1.3345,0.14986999,GBPUSD,1789740240093,1789751040093,1.33445,1.33452,0.52454692,-0.37467693
2026-09-18T14:04:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740240306,1789751040306,1.40057,1.40061,0.28559393,USDCAD,1789740241899,1789751041899,1.40054,1.40061,0.49979473,-0.2142008
2026-09-18T14:04:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740240007,1789751040007,157.788,157.796,0.50699655,USDJPY,1789740240193,1789751040193,157.789,157.797,0.50699334,3.21e-06
2026-09-18T14:04:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740240005,1789751040005,4354.01,4354.38,0.84975524,XAUUSD,1789740240142,1789751040142,4354.15,4354.57,0.96455047,-0.11479524
2026-09-18T14:05:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740300457,1789751100457,1.14623,1.14624,0.08724214,EURUSD,1789740300244,1789751100244,1.14623,1.14625,0.17448353,-0.08724138
2026-09-18T14:05:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740300009,1789751100009,1.33444,1.33449,0.37468199,GBPUSD,1789740300142,1789751100142,1.33444,1.3345,0.4496167,-0.07493471
2026-09-18T14:05:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740301656,1789751101656,1.4007399999999999,1.4007800000000001,0.28555927,USDCAD,1789740300093,1789751100093,1.40067,1.4007399999999999,0.49974834,-0.21418907
2026-09-18T14:05:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740300452,1789751100452,157.792,157.801,0.57035486,USDJPY,1789740300444,1789751100444,157.789,157.796,0.44362058,0.12673428
2026-09-18T14:05:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740300003,1789751100003,4356.09,4356.52,0.98707506,XAUUSD,1789740300043,1789751100043,4355.3,4355.72,0.9642958,0.02277926
2026-09-18T14:06:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740360160,1789751160160,1.14615,1.14616,0.08724823,EURUSD,1789740360058,1789751160058,1.14613,1.14616,0.26174699,-0.17449875
2026-09-18T14:06:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740360162,1789751160162,1.33419,1.33422,0.224853,GBPUSD,1789740360208,1789751160208,1.33416,1.33423,0.52466094,-0.29980794
2026-09-18T14:06:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740362108,1789751162108,1.40095,1.4009800000000001,0.21413811,USDCAD,1789740360208,1789751160208,1.40093,1.401,0.49965559,-0.28551748
2026-09-18T14:06:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740360152,1789751160152,157.776,157.785,0.57041269,USDJPY,1789740360012,1789751160012,157.785,157.793,0.50700619,0.0634065
2026-09-18T14:06:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740360009,1789751160009,4353.49,4353.94,1.03360004,XAUUSD,1789740360007,1789751160007,4352.83,4353.26,0.98781428,0.04578576
2026-09-18T14:07:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740420162,1789751220162,1.1461999999999999,1.14621,0.08724443,EURUSD,1789740420248,1789751220248,1.14617,1.14621,0.34898228,-0.26173785
2026-09-18T14:07:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740420162,1789751220162,1.33418,1.3342100000000001,0.22485469,GBPUSD,1789740420248,1789751220248,1.33418,1.33422,0.29980513,-0.07495044
2026-09-18T14:07:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740425406,1789751225406,1.40096,1.401,0.28551443,USDCAD,1789740420297,1789751220297,1.40095,1.4010099999999999,0.42827164,-0.14275721
2026-09-18T14:07:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740420160,1789751220160,157.778,157.787,0.57040546,USDJPY,1789740420248,1789751220248,157.783,157.79,0.44363745,0.12676802
2026-09-18T14:07:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740420160,1789751220160,4353.69,4354.14,1.03355256,XAUUSD,1789740420249,1789751220249,4353.19,4353.62,0.98773259,0.04581997
2026-09-18T14:08:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740480007,1789751280007,1.14626,1.14627,0.08723986,EURUSD,1789740480487,1789751280487,1.14624,1.14626,0.17448201,-0.08724214
2026-09-18T14:08:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740480004,1789751280004,1.3343,1.33433,0.22483447,GBPUSD,1789740480185,1789751280185,1.3342800000000001,1.33434,0.44967062,-0.22483615
2026-09-18T14:08:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740480007,1789751280007,1.40092,1.4009800000000001,0.42828081,USDCAD,1789740480037,1789751280037,1.40092,1.4009800000000001,0.42828081,0.0
2026-09-18T14:08:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740480007,1789751280007,157.76,157.769,0.57047054,USDJPY,1789740480135,1789751280135,157.763,157.771,0.50707689,0.06339365
2026-09-18T14:08:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740480012,1789751280012,4351.71,4352.15,1.01104567,XAUUSD,1789740480037,1789751280037,4351.97,4352.4,0.98800947,0.0230362
2026-09-18T14:09:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740540010,1789751340010,1.14633,1.14634,0.08723453,EURUSD,1789740540112,1789751340112,1.14631,1.14634,0.26170589,-0.17447135
2026-09-18T14:09:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740540010,1789751340010,1.3345099999999999,1.3345500000000001,0.29973099,GBPUSD,1789740540009,1789751340009,1.33449,1.33456,0.5245312,-0.22480021
2026-09-18T14:09:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740540010,1789751340010,1.40088,1.40093,0.35691214,USDCAD,1789740540009,1789751340009,1.40085,1.40092,0.49968413,-0.14277199
2026-09-18T14:09:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740540010,1789751340010,157.756,157.765,0.57048501,USDJPY,1789740540058,1789751340058,157.758,157.764,0.38032213,0.19016287
2026-09-18T14:09:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740540007,1789751340007,4351.88,4352.33,1.03398241,XAUUSD,1789740540112,1789751340112,4351.68,4352.11,0.98807531,0.0459071
2026-09-18T14:10:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740600154,1789751400154,1.14639,1.14639,0.0,EURUSD,1789740600087,1789751400087,1.14638,1.14641,0.26168991,-0.26168991
2026-09-18T14:10:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740600159,1789751400159,1.33466,1.33469,0.22477382,GBPUSD,1789740600087,1789751400087,1.33464,1.3347,0.44954933,-0.22477551
2026-09-18T14:10:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740600308,1789751400308,1.40077,1.4008099999999999,0.28555315,USDCAD,1789740603788,1789751403788,1.40073,1.4008,0.49972693,-0.21417378
2026-09-18T14:10:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740600459,1789751400459,157.743,157.751,0.50714118,USDJPY,1789740600087,1789751400087,157.743,157.751,0.50714118,0.0
2026-09-18T14:10:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740600308,1789751400308,4352.09,4352.52,0.98798223,XAUUSD,1789740600037,1789751400037,4352.04,4352.46,0.96501809,0.02296414
2026-09-18T14:11:00Z,2026-09-18,14,US,EURUSD,EURUSD,1789740660157,1789751460157,1.14643,1.14644,0.08722693,EURUSD,1789740660134,1789751460134,1.14638,1.14641,0.26168991,-0.17446298
2026-09-18T14:11:00Z,2026-09-18,14,US,GBPUSD,GBPUSD,1789740660157,1789751460157,1.33467,1.3347,0.22477214,GBPUSD,1789740660134,1789751460134,1.33464,1.3347,0.44954933,-0.22477719
2026-09-18T14:11:00Z,2026-09-18,14,US,USDCAD,USDCAD,1789740661512,1789751461512,1.40077,1.4008099999999999,0.28555315,USDCAD,1789740660382,1789751460382,1.40073,1.4008,0.49972693,-0.21417378
2026-09-18T14:11:00Z,2026-09-18,14,US,USDJPY,USDJPY,1789740661508,1789751461508,157.792,157.799,0.44361214,USDJPY,1789740660034,1789751460034,157.798,157.805,0.44359528,1.687e-05
2026-09-18T14:11:00Z,2026-09-18,14,US,XAUUSD,XAUUSD,1789740660008,1789751460008,4354.76,4355.15,0.89553164,XAUUSD,1789740660084,1789751460084,4353.26,4353.69,0.98771671,-0.09218507
