program_id,mode,scope,real_cells,matched_cheap_cells,spearman_net_profit,spearman_costed_return_maxdd,plateau_top5_overlap,plateau_top10_overlap,net_sign_agreement,top50_false_negative_rate,top30_false_negative_rate,status
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,open_prices,2023,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,open_prices,2024,45,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,open_prices,2025,45,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,open_prices,pooled,320,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,full_window_split,2019,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,full_window_split,2020,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,full_window_split,2021,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,full_window_split,2022,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,full_window_split,2023,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,full_window_split,2024,45,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,full_window_split,2025,45,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,full_window_split,pooled,320,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_complete,2019,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_complete,2020,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_complete,2021,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_complete,2022,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_complete,2023,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_complete,2024,45,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_complete,2025,45,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_complete,pooled,320,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_genetic,2019,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_genetic,2020,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,optimizer_genetic,2021,46,0,,,,,,,,NOT_MEASURED
