broker_epoch,utc,tick_volume,official_band,raw_native_band
1763654400,2025-11-20T14:00:00+00:00,1101,False,False
1763654700,2025-11-20T14:05:00+00:00,902,False,False
1763655000,2025-11-20T14:10:00+00:00,867,False,False
1763655300,2025-11-20T14:15:00+00:00,849,False,False
1763655600,2025-11-20T14:20:00+00:00,822,False,False
1763655900,2025-11-20T14:25:00+00:00,648,False,False
1763656200,2025-11-20T14:30:00+00:00,1040,False,False
1763656500,2025-11-20T14:35:00+00:00,910,False,False
1763656800,2025-11-20T14:40:00+00:00,969,False,False
1763657100,2025-11-20T14:45:00+00:00,709,False,False
1763657400,2025-11-20T14:50:00+00:00,652,False,False
1763657700,2025-11-20T14:55:00+00:00,526,False,False
1763658000,2025-11-20T15:00:00+00:00,630,False,False
1763658300,2025-11-20T15:05:00+00:00,609,False,False
1763658600,2025-11-20T15:10:00+00:00,531,False,False
1763658900,2025-11-20T15:15:00+00:00,569,False,False
1763659200,2025-11-20T15:20:00+00:00,532,False,False
1763659500,2025-11-20T15:25:00+00:00,502,False,False
1763659800,2025-11-20T15:30:00+00:00,596,False,False
1763660100,2025-11-20T15:35:00+00:00,479,False,False
1763660400,2025-11-20T15:40:00+00:00,490,False,False
1763660700,2025-11-20T15:45:00+00:00,603,False,False
1763661000,2025-11-20T15:50:00+00:00,693,False,False
1763661300,2025-11-20T15:55:00+00:00,582,False,False
1763661600,2025-11-20T16:00:00+00:00,511,False,False
1763661900,2025-11-20T16:05:00+00:00,607,False,False
1763662200,2025-11-20T16:10:00+00:00,534,False,False
1763662500,2025-11-20T16:15:00+00:00,605,False,False
1763662800,2025-11-20T16:20:00+00:00,624,False,False
1763663100,2025-11-20T16:25:00+00:00,746,False,False
1763663400,2025-11-20T16:30:00+00:00,580,False,False
1763663700,2025-11-20T16:35:00+00:00,626,False,False
1763664000,2025-11-20T16:40:00+00:00,456,False,False
1763664300,2025-11-20T16:45:00+00:00,610,False,False
1763664600,2025-11-20T16:50:00+00:00,510,False,False
1763664900,2025-11-20T16:55:00+00:00,606,False,False
1763665200,2025-11-20T17:00:00+00:00,701,False,False
1763665500,2025-11-20T17:05:00+00:00,576,False,False
1763665800,2025-11-20T17:10:00+00:00,615,False,False
1763666100,2025-11-20T17:15:00+00:00,585,False,False
1763666400,2025-11-20T17:20:00+00:00,661,False,False
1763666700,2025-11-20T17:25:00+00:00,469,False,False
1763667000,2025-11-20T17:30:00+00:00,482,False,False
1763667300,2025-11-20T17:35:00+00:00,589,False,False
1763667600,2025-11-20T17:40:00+00:00,399,False,False
1763667900,2025-11-20T17:45:00+00:00,455,False,False
1763668200,2025-11-20T17:50:00+00:00,438,False,False
1763668500,2025-11-20T17:55:00+00:00,470,False,False
1763668800,2025-11-20T18:00:00+00:00,387,False,False
1763669100,2025-11-20T18:05:00+00:00,364,False,False
1763669400,2025-11-20T18:10:00+00:00,350,False,False
1763669700,2025-11-20T18:15:00+00:00,435,False,False
1763670000,2025-11-20T18:20:00+00:00,348,False,False
1763670300,2025-11-20T18:25:00+00:00,422,False,False
1763670600,2025-11-20T18:30:00+00:00,375,False,False
