event_id,cluster_id,currency,era,symbol,currency_leg,trade_dir,cluster_trade_dir,entry_delay_min,entry_bar_epoch,entry_lag_sec,entry_price,px_p5,px_p15,px_p30,px_p60,px_p90,px_p120,ret_p5,ret_p15,ret_p30,ret_p60,ret_p90,ret_p120,ret_raw_p5,ret_raw_p15,ret_raw_p30,ret_raw_p60,ret_raw_p90,ret_raw_p120,mae_p90_bp,mfe_p90_bp,atr_m5_bp,bars_missing,session_intact,window_ok,weekday,broker_hour,minute_of_hour
05da4c09353b,2027437b1a6c,USD,IS,EURUSD.DWX,-1,-1,1,15,1641570300,0,1.12986,1.13151,1.13016,1.1317,1.13307,1.13397,1.13377,-14.6035792,-2.655196219,-16.28520348,-28.41059954,-36.3761882,-34.60605739,14.6035792,2.655196219,16.28520348,28.41059954,36.3761882,34.60605739,-37.26125361,0.08850654063,3.211523046,0,1,1,4,15,45
05da4c09353b,2027437b1a6c,USD,IS,USDJPY.DWX,1,1,-1,5,1641569700,0,115.856,115.904,115.765,115.855,115.76,115.685,115.682,4.143074161,-7.854578097,-0.08631404502,-8.286148322,-14.7597017,-15.01864383,4.143074161,-7.854578097,-0.08631404502,-8.286148322,-14.7597017,-15.01864383,-16.4859826,6.214611242,2.644908951,0,1,1,4,15,35
05da4c09353b,2027437b1a6c,USD,IS,USDJPY.DWX,1,1,-1,10,1641570000,0,115.903,115.856,115.821,115.781,115.706,115.65,115.738,-4.055115053,-7.074881582,-10.52604333,-16.99697161,-21.82859805,-14.23604221,-4.055115053,-7.074881582,-10.52604333,-16.99697161,-21.82859805,-14.23604221,-23.38162084,1.035348524,2.64383641,0,1,1,4,15,40
05da4c09353b,2027437b1a6c,USD,IS,USDJPY.DWX,1,1,-1,15,1641570300,0,115.857,115.765,115.851,115.741,115.671,115.673,115.737,-7.940823602,-0.5178798001,-10.0123428,-16.0542738,-15.8816472,-10.357596,-7.940823602,-0.5178798001,-10.0123428,-16.0542738,-15.8816472,-10.357596,-21.578325,2.1578325,2.644886122,0,1,1,4,15,45
074a0968194a,f46040b03373,USD,IS,EURUSD.DWX,-1,1,1,5,1544196900,0,1.14099,1.13986,1.13863,1.13822,1.13844,1.13833,1.13829,-9.903680137,-20.68379215,-24.27716281,-22.3490127,-23.31308776,-23.66366051,-9.903680137,-20.68379215,-24.27716281,-22.3490127,-23.31308776,-23.66366051,-31.90212009,2.541652425,4.28199571,0,1,1,4,15,35
074a0968194a,f46040b03373,USD,IS,EURUSD.DWX,-1,1,1,10,1544197200,0,1.13987,1.13794,1.13916,1.13787,1.13907,1.13773,1.13838,-16.93175538,-6.228780475,-17.54586049,-7.018344197,-18.77407073,-13.07166607,-16.93175538,-6.228780475,-17.54586049,-7.018344197,-18.77407073,-13.07166607,-22.10778422,5.176028845,4.286203063,0,1,1,4,15,40
074a0968194a,f46040b03373,USD,IS,EURUSD.DWX,-1,1,1,15,1544197500,0,1.13795,1.13863,1.13888,1.13804,1.13962,1.13818,1.13833,5.975657981,8.172591063,0.7908959093,14.67551298,2.021178435,3.339338284,5.975657981,8.172591063,0.7908959093,14.67551298,2.021178435,3.339338284,-5.272639395,22.05720814,4.293434936,0,1,1,4,15,45
074a0968194a,f46040b03373,USD,IS,USDJPY.DWX,1,-1,-1,5,1544196900,0,112.643,112.776,112.795,112.794,112.783,112.833,112.705,-11.80721394,-13.49395879,-13.40518275,-12.42864625,-16.86744849,-5.50411477,11.80721394,13.49395879,13.40518275,12.42864625,16.86744849,5.50411477,-23.70320393,0.08877604467,2.561823003,0,1,1,4,15,35
074a0968194a,f46040b03373,USD,IS,USDJPY.DWX,1,-1,-1,10,1544197200,0,112.775,112.885,112.779,112.815,112.799,112.778,112.684,-9.753934826,-0.3546885391,-3.546885391,-2.128131235,-0.2660164043,8.069164265,9.753934826,0.3546885391,3.546885391,2.128131235,0.2660164043,-8.069164265,-11.9707382,5.586344491,2.558824461,0,1,1,4,15,40
074a0968194a,f46040b03373,USD,IS,USDJPY.DWX,1,-1,-1,15,1544197500,0,112.886,112.795,112.763,112.788,112.804,112.736,112.702,8.061229913,10.89594812,8.681324522,7.263965416,13.28774162,16.29962971,-8.061229913,-10.89594812,-8.681324522,-7.263965416,-13.28774162,-16.29962971,-1.328774162,15.41378027,2.556308387,0,1,1,4,15,45
