currency,event,raw_datetime_utc,applied_offset_min,release_utc,home_tz,home_local_hhmm,modal_home_local_hhmm,local_peak_offset_min,local_peak_ratio,local_prominent,instant_verified,void_reason
USD,Non-Farm Employment Change,2020.09.03 19:30,1020,2020-09-04T12:30:00Z,America/New_York,08:30,08:30,0,3.352308665,1,1,
USD,Non-Farm Employment Change,2020.10.01 20:30,1020,2020-10-02T13:30:00Z,America/New_York,09:30,08:30,5,1.829662261,1,0,home_clock_mismatch
USD,Non-Farm Employment Change,2020.11.05 20:30,1020,2020-11-06T13:30:00Z,America/New_York,08:30,08:30,0,2.546070461,1,1,
USD,Non-Farm Employment Change,2020.12.03 20:30,1020,2020-12-04T13:30:00Z,America/New_York,08:30,08:30,15,2.648826979,1,0,local_peak_elsewhere
USD,Non-Farm Employment Change,2021.01.07 20:30,1020,2021-01-08T13:30:00Z,America/New_York,08:30,08:30,0,4.033450704,1,1,
USD,Non-Farm Employment Change,2021.02.04 20:30,1020,2021-02-05T13:30:00Z,America/New_York,08:30,08:30,0,3.712945591,1,1,
USD,Non-Farm Employment Change,2021.03.04 20:30,1020,2021-03-05T13:30:00Z,America/New_York,08:30,08:30,0,3.039816233,1,1,
USD,Non-Farm Employment Change,2021.04.01 19:30,1020,2021-04-02T12:30:00Z,America/New_York,08:30,08:30,0,7.033333333,1,1,
USD,Non-Farm Employment Change,2021.05.06 19:30,1020,2021-05-07T12:30:00Z,America/New_York,08:30,08:30,0,5.589723926,1,1,
USD,Non-Farm Employment Change,2021.06.03 19:30,1020,2021-06-04T12:30:00Z,America/New_York,08:30,08:30,0,8.211779449,1,1,
USD,Non-Farm Employment Change,2021.07.01 19:30,1020,2021-07-02T12:30:00Z,America/New_York,08:30,08:30,0,4.514797508,1,1,
USD,Non-Farm Employment Change,2021.08.05 19:30,1020,2021-08-06T12:30:00Z,America/New_York,08:30,08:30,0,7.848020434,1,1,
USD,Non-Farm Employment Change,2021.09.02 19:30,1020,2021-09-03T12:30:00Z,America/New_York,08:30,08:30,5,5.893147503,1,1,
USD,Non-Farm Employment Change,2021.10.07 20:30,1020,2021-10-08T13:30:00Z,America/New_York,09:30,08:30,-60,4.394981413,1,0,home_clock_mismatch
