event_id,cluster_id,currency,event,raw_datetime_utc,applied_offset_min,release_utc,us_dst,release_broker_epoch,year,weekday,broker_hhmm,era,actual,forecast,surprise,surprise_n_3y,surprise_mean_3y,surprise_sd_3y,surprise_z,polarity,direction,is_confounded,instant_verified,instant_void_reason,home_tz,home_local_hhmm,local_peak_offset_min,cluster_rank,cluster_is_primary,cluster_direction,cluster_dir_rule
ace7e20b4bac,4cdc5d762cef,USD,Unemployment Rate,2019.08.01 19:30,1020,2019-08-02T12:30:00Z,1,1564759800,2019,4,15:30,IS,3.7,3.6,0.1,36,-0.005555555556,0.1177201117,0.8966654385,-1,,0,0,local_peak_elsewhere,America/New_York,08:30,30,13,0,,primary_event_rank
a6eba0fcd761,56ea03deb944,USD,Average Hourly Earnings m/m,2019.09.05 19:30,1020,2019-09-06T12:30:00Z,1,1567783800,2019,4,15:30,IS,0.4,0.3,0.1,35,-0.03142857143,0.1165490175,1.127667777,1,1,0,1,,America/New_York,08:30,0,15,0,-1,primary_event_rank
2ae7317530a6,56ea03deb944,USD,Non-Farm Employment Change,2019.09.05 19:30,1020,2019-09-06T12:30:00Z,1,1567783800,2019,4,15:30,IS,130000,163000,-33000,35,114.2857143,65432.52639,-0.5060829459,1,-1,0,1,,America/New_York,08:30,0,2,1,-1,primary_event_rank
6038d0ad4721,56ea03deb944,USD,Unemployment Rate,2019.09.05 19:30,1020,2019-09-06T12:30:00Z,1,1567783800,2019,4,15:30,IS,3.7,3.7,0,35,-0.008571428571,0.1180107224,0.07263262519,-1,-1,0,1,,America/New_York,08:30,0,13,0,-1,primary_event_rank
481a1bea8c16,ef237cb99ba5,USD,Average Hourly Earnings m/m,2019.10.03 20:30,1020,2019-10-04T13:30:00Z,1,1570206600,2019,4,16:30,IS,0,0.3,-0.3,36,-0.02777777778,0.1169309177,-2.328060257,1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,15,0,,primary_event_rank
03de7d04f410,ef237cb99ba5,USD,Non-Farm Employment Change,2019.10.03 20:30,1020,2019-10-04T13:30:00Z,1,1570206600,2019,4,16:30,IS,136000,145000,-9000,36,-805.5555556,64746.43682,-0.1265620913,1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,2,0,,primary_event_rank
cc394d054897,ef237cb99ba5,USD,Unemployment Rate,2019.10.03 20:30,1020,2019-10-04T13:30:00Z,1,1570206600,2019,4,16:30,IS,3.5,3.7,-0.2,36,-0.008333333333,0.116368667,-1.64706421,-1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,13,0,,primary_event_rank
0914ea0261aa,39f67dfc45be,USD,Non-Farm Employment Change,2019.10.31 20:30,1020,2019-11-01T13:30:00Z,1,1572625800,2019,4,16:30,IS,128000,90000,38000,36,-638.8888889,64717.39968,0.5970401945,1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,2,0,,primary_event_rank
b98b0e2bbe73,39f67dfc45be,USD,Unemployment Rate,2019.10.31 20:30,1020,2019-11-01T13:30:00Z,1,1572625800,2019,4,16:30,IS,3.6,3.6,0,36,-0.01666666667,0.1190238071,0.1400280084,-1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,13,0,,primary_event_rank
2c0abccd1aa8,a1a4ad7a7bfd,USD,Average Hourly Earnings m/m,2019.11.01 12:30,1020,2019-11-02T05:30:00Z,1,1572683400,2019,5,08:30,IS,0.2,0.3,-0.1,36,-0.03611111111,0.1250617132,-0.5108588974,1,,0,0,home_clock_mismatch,America/New_York,01:30,,15,0,,primary_event_rank
