config_id,year,clock_mode,outside_rule,buffer_points,range_band_enabled,range_start_hour,range_end_hour,range_end_minute,range_bar_period,exit_hour
16,2021,1,0,0,true,0,8,0,0,18
16,2022,1,0,0,true,0,8,0,0,18
16,2023,1,0,0,true,0,8,0,0,18
16,2024,1,0,0,true,0,8,0,0,18
16,2025,1,0,0,true,0,8,0,0,18
17,2019,1,0,0,false,0,8,0,0,18
17,2020,1,0,0,false,0,8,0,0,18
17,2021,1,0,0,false,0,8,0,0,18
17,2022,1,0,0,false,0,8,0,0,18
17,2023,1,0,0,false,0,8,0,0,18
17,2024,1,0,0,false,0,8,0,0,18
17,2025,1,0,0,false,0,8,0,0,18
18,2019,1,0,20,true,0,8,0,0,18
18,2020,1,0,20,true,0,8,0,0,18
18,2021,1,0,20,true,0,8,0,0,18
18,2022,1,0,20,true,0,8,0,0,18
18,2023,1,0,20,true,0,8,0,0,18
18,2024,1,0,20,true,0,8,0,0,18
18,2025,1,0,20,true,0,8,0,0,18
19,2019,1,0,20,false,0,8,0,0,18
19,2020,1,0,20,false,0,8,0,0,18
19,2021,1,0,20,false,0,8,0,0,18
19,2022,1,0,20,false,0,8,0,0,18
19,2023,1,0,20,false,0,8,0,0,18
19,2024,1,0,20,false,0,8,0,0,18
19,2025,1,0,20,false,0,8,0,0,18
20,2019,1,1,0,true,0,8,0,0,18
20,2020,1,1,0,true,0,8,0,0,18
20,2021,1,1,0,true,0,8,0,0,18
20,2022,1,1,0,true,0,8,0,0,18
20,2023,1,1,0,true,0,8,0,0,18
20,2024,1,1,0,true,0,8,0,0,18
20,2025,1,1,0,true,0,8,0,0,18
21,2019,1,1,0,false,0,8,0,0,18
21,2020,1,1,0,false,0,8,0,0,18
21,2021,1,1,0,false,0,8,0,0,18
21,2022,1,1,0,false,0,8,0,0,18
21,2023,1,1,0,false,0,8,0,0,18
21,2024,1,1,0,false,0,8,0,0,18
21,2025,1,1,0,false,0,8,0,0,18
22,2019,1,1,20,true,0,8,0,0,18
22,2020,1,1,20,true,0,8,0,0,18
22,2021,1,1,20,true,0,8,0,0,18
22,2022,1,1,20,true,0,8,0,0,18
22,2023,1,1,20,true,0,8,0,0,18
22,2024,1,1,20,true,0,8,0,0,18
22,2025,1,1,20,true,0,8,0,0,18
23,2019,1,1,20,false,0,8,0,0,18
23,2020,1,1,20,false,0,8,0,0,18
23,2021,1,1,20,false,0,8,0,0,18
23,2022,1,1,20,false,0,8,0,0,18
23,2023,1,1,20,false,0,8,0,0,18
23,2024,1,1,20,false,0,8,0,0,18
23,2025,1,1,20,false,0,8,0,0,18
24,2019,1,2,0,true,0,8,0,0,18
24,2020,1,2,0,true,0,8,0,0,18
24,2021,1,2,0,true,0,8,0,0,18
24,2022,1,2,0,true,0,8,0,0,18
24,2023,1,2,0,true,0,8,0,0,18
24,2024,1,2,0,true,0,8,0,0,18
24,2025,1,2,0,true,0,8,0,0,18
25,2019,1,2,0,false,0,8,0,0,18
25,2020,1,2,0,false,0,8,0,0,18
25,2021,1,2,0,false,0,8,0,0,18
25,2022,1,2,0,false,0,8,0,0,18
25,2023,1,2,0,false,0,8,0,0,18
25,2024,1,2,0,false,0,8,0,0,18
25,2025,1,2,0,false,0,8,0,0,18
26,2019,1,2,20,true,0,8,0,0,18
26,2020,1,2,20,true,0,8,0,0,18
26,2021,1,2,20,true,0,8,0,0,18
26,2022,1,2,20,true,0,8,0,0,18
26,2023,1,2,20,true,0,8,0,0,18
26,2024,1,2,20,true,0,8,0,0,18
26,2025,1,2,20,true,0,8,0,0,18
27,2019,1,2,20,false,0,8,0,0,18
27,2020,1,2,20,false,0,8,0,0,18
27,2021,1,2,20,false,0,8,0,0,18
27,2022,1,2,20,false,0,8,0,0,18
27,2023,1,2,20,false,0,8,0,0,18
27,2024,1,2,20,false,0,8,0,0,18
27,2025,1,2,20,false,0,8,0,0,18
28,2019,1,3,0,true,0,8,0,0,18
28,2020,1,3,0,true,0,8,0,0,18
28,2021,1,3,0,true,0,8,0,0,18
28,2022,1,3,0,true,0,8,0,0,18
28,2023,1,3,0,true,0,8,0,0,18
28,2024,1,3,0,true,0,8,0,0,18
28,2025,1,3,0,true,0,8,0,0,18
29,2019,1,3,0,false,0,8,0,0,18
29,2020,1,3,0,false,0,8,0,0,18
29,2021,1,3,0,false,0,8,0,0,18
29,2022,1,3,0,false,0,8,0,0,18
29,2023,1,3,0,false,0,8,0,0,18
29,2024,1,3,0,false,0,8,0,0,18
29,2025,1,3,0,false,0,8,0,0,18
30,2019,1,3,20,true,0,8,0,0,18
30,2020,1,3,20,true,0,8,0,0,18
30,2021,1,3,20,true,0,8,0,0,18
30,2022,1,3,20,true,0,8,0,0,18
30,2023,1,3,20,true,0,8,0,0,18
30,2024,1,3,20,true,0,8,0,0,18
30,2025,1,3,20,true,0,8,0,0,18
31,2019,1,3,20,false,0,8,0,0,18
31,2020,1,3,20,false,0,8,0,0,18
31,2021,1,3,20,false,0,8,0,0,18
31,2022,1,3,20,false,0,8,0,0,18
31,2023,1,3,20,false,0,8,0,0,18
31,2024,1,3,20,false,0,8,0,0,18
31,2025,1,3,20,false,0,8,0,0,18
32,2019,2,0,0,true,0,8,0,0,18
32,2020,2,0,0,true,0,8,0,0,18
32,2021,2,0,0,true,0,8,0,0,18
32,2022,2,0,0,true,0,8,0,0,18
32,2023,2,0,0,true,0,8,0,0,18
32,2024,2,0,0,true,0,8,0,0,18
32,2025,2,0,0,true,0,8,0,0,18
33,2019,2,0,0,false,0,8,0,0,18
33,2020,2,0,0,false,0,8,0,0,18
33,2021,2,0,0,false,0,8,0,0,18
33,2022,2,0,0,false,0,8,0,0,18
33,2023,2,0,0,false,0,8,0,0,18
33,2024,2,0,0,false,0,8,0,0,18
33,2025,2,0,0,false,0,8,0,0,18
34,2019,2,0,20,true,0,8,0,0,18
34,2020,2,0,20,true,0,8,0,0,18
34,2021,2,0,20,true,0,8,0,0,18
34,2022,2,0,20,true,0,8,0,0,18
34,2023,2,0,20,true,0,8,0,0,18
34,2024,2,0,20,true,0,8,0,0,18
34,2025,2,0,20,true,0,8,0,0,18
35,2019,2,0,20,false,0,8,0,0,18
35,2020,2,0,20,false,0,8,0,0,18
35,2021,2,0,20,false,0,8,0,0,18
35,2022,2,0,20,false,0,8,0,0,18
35,2023,2,0,20,false,0,8,0,0,18
35,2024,2,0,20,false,0,8,0,0,18
35,2025,2,0,20,false,0,8,0,0,18
36,2019,2,1,0,true,0,8,0,0,18
36,2020,2,1,0,true,0,8,0,0,18
36,2021,2,1,0,true,0,8,0,0,18
36,2022,2,1,0,true,0,8,0,0,18
36,2023,2,1,0,true,0,8,0,0,18
36,2024,2,1,0,true,0,8,0,0,18
36,2025,2,1,0,true,0,8,0,0,18
37,2019,2,1,0,false,0,8,0,0,18
37,2020,2,1,0,false,0,8,0,0,18
