seq,handler,tick_no,timer_no,sim_iso,sim_epoch,wall_ms,host_b0_open,host_b1_open,sec_b0_open,sec_b1_open,sec_close1,la_forming,la_closed
7138,TICK,246,6892,2018.01.02 00:11:29,1514851889,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7139,TICK,247,6892,2018.01.02 00:11:29,1514851889,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7247,TIMER,247,7000,2018.01.02 00:11:29,1514851889,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7271,TICK,248,7023,2018.01.02 00:11:42,1514851902,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7326,TICK,249,7077,2018.01.02 00:11:47,1514851907,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7343,TICK,250,7093,2018.01.02 00:11:49,1514851909,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7388,TICK,251,7137,2018.01.02 00:11:53,1514851913,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7389,TICK,252,7137,2018.01.02 00:11:53,1514851913,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7390,TICK,253,7137,2018.01.02 00:11:53,1514851913,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7392,TICK,254,7138,2018.01.02 00:11:53,1514851913,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7393,TICK,255,7138,2018.01.02 00:11:53,1514851913,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
