scope,ea_id,symbol,phase,pair_class,disposition,reason,file_count,bytes,projected_free_bytes,compression_candidate_bytes
C_RELOCATED,QM5_10912,NDX.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,11,103823,0,103823
C_RELOCATED,QM5_10913,NDX.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,18,159745,0,159745
C_RELOCATED,QM5_10913,NDX.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,17,196981,0,196981
C_RELOCATED,QM5_10914,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,27,273474,0,273474
C_RELOCATED,QM5_10916,GDAXI.DWX,Q05,OTHER,DELETE_NONRETAINED,non-path pair; phase is not Q02/Q04,4,1084623,1084623,0
C_RELOCATED,QM5_10916,NDX.DWX,Q04,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,25,227455,0,227455
C_RELOCATED,QM5_10917,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,9,79894,0,79894
C_RELOCATED,QM5_10919,XTIUSD.DWX,Q08,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,INFLIGHT_REQUAL_RECOVERY_OR_OPT_FORK+V4_PASS_LINEAGE,12,13439,0,13439
C_RELOCATED,QM5_10923,XAUUSD.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,3,44526,0,44526
C_RELOCATED,QM5_10926,NDX.DWX,Q04,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,25,676206,0,676206
C_RELOCATED,QM5_10928,USDJPY.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,3,37180,0,37180
C_RELOCATED,QM5_10929,GDAXI.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,17,265653,0,265653
C_RELOCATED,QM5_10929,NDX.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,25,225497,0,225497
C_RELOCATED,QM5_1093,SP500.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,13,159089,0,159089
C_RELOCATED,QM5_10930,GDAXI.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,72392,0,72392
C_RELOCATED,QM5_10932,GDAXI.DWX,Q04,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,21,180202,0,180202
C_RELOCATED,QM5_10936,GDAXI.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,14,151390,0,151390
C_RELOCATED,QM5_10938,GDAXI.DWX,Q08,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,V4_PASS_LINEAGE,12,14649,0,14649
C_RELOCATED,QM5_10939,GBPUSD.DWX,Q08,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW+PORTFOLIO_CANDIDATE_NON_RETIRED+V4_PASS_LINEAGE,12,18133,0,18133
C_RELOCATED,QM5_10939,UNRESOLVED,Q08,AMBIGUOUS,KEEP_AMBIGUOUS,unresolved pair identity; ambiguity=KEEP,24,30756,0,0
C_RELOCATED,QM5_10939,XAUUSD.DWX,Q08,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,V4_PASS_LINEAGE,12,18138,0,18138
C_RELOCATED,QM5_10946,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,5,36081,0,36081
C_RELOCATED,QM5_10947,NDX.DWX,Q05,OTHER,DELETE_NONRETAINED,non-path pair; phase is not Q02/Q04,16,160297,160297,0
C_RELOCATED,QM5_10947,UNRESOLVED,UNRESOLVED,AMBIGUOUS,KEEP_AMBIGUOUS,unresolved pair identity; ambiguity=KEEP,7,72872,0,0
C_RELOCATED,QM5_10950,NDX.DWX,Q04,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,25,225764,0,225764
