line,date,side,accepted,price,sl,range_high,range_low,bid,ask,outside_high,outside_low,invalid_price,broker_time,utc_time,season,broker_hour,utc_hour,strategy_hour,log,source
68563,2020-12-17,buy,True,103.560,103.294,103.560,103.294,103.312,103.315,False,False,False,2020-12-17T05:00:00,2020-12-17T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:26.168	Trade	2020.12.17 05:00:00   buy stop 3.88 USDJPY.DWX at 103.560 sl: 103.294 (103.312 / 103.315),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68564,2020-12-17,sell,True,103.294,103.560,103.560,103.294,103.312,103.315,False,False,False,2020-12-17T05:00:00,2020-12-17T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:26.169	Trade	2020.12.17 05:00:00   sell stop 3.89 USDJPY.DWX at 103.294 sl: 103.560 (103.312 / 103.315),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68576,2020-12-21,buy,True,103.496,103.251,103.496,103.251,103.346,103.350,False,False,False,2020-12-21T05:00:00,2020-12-21T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:26.600	Trade	2020.12.21 05:00:00   buy stop 4.21 USDJPY.DWX at 103.496 sl: 103.251 (103.346 / 103.350),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68577,2020-12-21,sell,True,103.251,103.496,103.496,103.251,103.346,103.350,False,False,False,2020-12-21T05:00:00,2020-12-21T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:26.600	Trade	2020.12.21 05:00:00   sell stop 4.22 USDJPY.DWX at 103.251 sl: 103.496 (103.346 / 103.350),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68591,2020-12-22,buy,True,103.465,103.279,103.465,103.279,103.351,103.354,False,False,False,2020-12-22T05:00:00,2020-12-22T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:26.902	Trade	2020.12.22 05:00:00   buy stop 5.55 USDJPY.DWX at 103.465 sl: 103.279 (103.351 / 103.354),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68592,2020-12-22,sell,True,103.279,103.465,103.465,103.279,103.351,103.354,False,False,False,2020-12-22T05:00:00,2020-12-22T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:26.903	Trade	2020.12.22 05:00:00   sell stop 5.56 USDJPY.DWX at 103.279 sl: 103.465 (103.351 / 103.354),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68602,2020-12-23,buy,True,103.637,103.496,103.637,103.496,103.504,103.509,False,False,False,2020-12-23T05:00:00,2020-12-23T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:27.125	Trade	2020.12.23 05:00:00   buy stop 7.33 USDJPY.DWX at 103.637 sl: 103.496 (103.504 / 103.509),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68603,2020-12-23,sell,True,103.496,103.637,103.637,103.496,103.504,103.509,False,False,False,2020-12-23T05:00:00,2020-12-23T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:27.126	Trade	2020.12.23 05:00:00   sell stop 7.35 USDJPY.DWX at 103.496 sl: 103.637 (103.504 / 103.509),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68613,2020-12-24,buy,True,103.620,103.508,103.620,103.508,103.533,103.535,False,False,False,2020-12-24T05:00:00,2020-12-24T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:27.397	Trade	2020.12.24 05:00:00   buy stop 9.24 USDJPY.DWX at 103.620 sl: 103.508 (103.533 / 103.535),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68614,2020-12-24,sell,True,103.508,103.620,103.620,103.508,103.533,103.535,False,False,False,2020-12-24T05:00:00,2020-12-24T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:27.397	Trade	2020.12.24 05:00:00   sell stop 9.25 USDJPY.DWX at 103.508 sl: 103.620 (103.533 / 103.535),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68624,2020-12-28,buy,True,103.635,103.452,103.635,103.452,103.585,103.587,False,False,False,2020-12-28T05:00:00,2020-12-28T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:27.548	Trade	2020.12.28 05:00:00   buy stop 5.65 USDJPY.DWX at 103.635 sl: 103.452 (103.585 / 103.587),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68625,2020-12-28,sell,True,103.452,103.635,103.635,103.452,103.585,103.587,False,False,False,2020-12-28T05:00:00,2020-12-28T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:27.548	Trade	2020.12.28 05:00:00   sell stop 5.66 USDJPY.DWX at 103.452 sl: 103.635 (103.585 / 103.587),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68635,2020-12-29,buy,True,103.805,103.690,103.805,103.690,103.733,103.736,False,False,False,2020-12-29T05:00:00,2020-12-29T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:27.743	Trade	2020.12.29 05:00:00   buy stop 9.01 USDJPY.DWX at 103.805 sl: 103.690 (103.733 / 103.736),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68636,2020-12-29,sell,True,103.690,103.805,103.805,103.690,103.733,103.736,False,False,False,2020-12-29T05:00:00,2020-12-29T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:27.743	Trade	2020.12.29 05:00:00   sell stop 9.02 USDJPY.DWX at 103.690 sl: 103.805 (103.733 / 103.736),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
