selection_rank,cell_key,arm,work_item_id,setfile_sha256,cold_elapsed_seconds,warm_elapsed_seconds,cold_identity_sha256,warm_identity_sha256,cold_report_metrics_sha256,warm_report_metrics_sha256,cold_trade_list_sha256,warm_trade_list_sha256,cold_native_report_sha256,warm_native_report_sha256,cold_logger_sample_sha256,warm_logger_sample_sha256,cold_receipt_schema_sha256,warm_receipt_schema_sha256,cold_entry_trading_days,warm_entry_trading_days,identity_exact,metrics_exact,trades_exact,native_report_exact,logger_sample_exact,receipt_schema_exact,entry_days_exact,all_exact,warm_status
11,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_015,buy_015,ba0d42dc-9471-5e03-a4e0-fda59ac0d324,b47ee59cb248c62bd418d09f6ce26f8646494bada4bdd38d3d68de29d3e8a01e,370.126,,8caf7bbe095dfc40034cab8deff23cba1053aa0b93a719a20964fdab6698f8b7,,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,,4e6ee4bb7b332af0edda835aeaf0016f756e633bfde1747a466650850734009a,,fe314e645f88d324098181ceb88467931e36d9370f6c3597569837d08fc4fcfa,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,193,,,,,,,,,,NOT_RUN_AFTER_STOP
12,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_017,buy_017,e4533930-dda7-57af-879f-3ecd94efd6e6,780456ae8381643561cd073816554b107f3951ed50a6d95812758ab030c530c6,252.569,,cada80c3d7ca14de9207f3db19a03a5a705053d9a2133cf22d1043afc0a75c31,,e7436c51311ba53b064069db0f87395e94785ed12100cded4b02337606903a36,,5a3d3bfef8a9c2c04af9609934ba3daabb8b79498e49def6a1c3e60f05d8eb5d,,7ff492b271cbfef3d535a3832d4d4e143b08996e694142a54cf9c9892879ea62,,cf6434e5a71ebfacf0e7ffd3d2efc7519e1ad6da4771ce8cffbdc815dfdfba20,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,193,,,,,,,,,,NOT_RUN_AFTER_STOP
13,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_018,buy_018,2f02b9e6-f2db-5077-b477-83312244f011,bbec7c638e57b735a8fdc054e3ca29d412122c18cbfc17b3f09c56cb34f06deb,263.652,,81f1c2efd76261a0a815191531df50b446ad18b522b29a230902bc8d1869ac0b,,2e308f588d24f1b54bc96a9aefc7b43f4cd9fb788018254a226252666e0cce47,,bb3cba89327b6883f32a4f972fbc06b4e17e561d9d16d8311efb1b8393fb0e26,,466dfa4e83a1fadeb7254c5867f099af5cedc50f9f0621765b31de497c038038,,a349ff9e22c32ab7456127a32e41678ae0806d6ee0b13623115758f76a76f26c,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,188,,,,,,,,,,NOT_RUN_AFTER_STOP
14,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_019,buy_019,85ce2003-8d1a-58c3-baf3-52386ad6ad27,da9ffc8cb4ecfd17429d37b6a0d45cfa4aeab72f8cb773385431c47a763830ec,596.262,,2e2072360a810f03c275c3195a9c6f30092028f2451b23b85f24c988ee0aee6b,,174682be19ada36eb090bbd14b81fa6afa61b1409afaf295e0446a19fc27be16,,c7032dce9c15eb8c780cea805373a4e1c557d45048bbf57a05f37dd492a0e47d,,5e7b8ec8245026a90229813279e23335307e95b82b5338be90e085027dfbfa39,,8ef44c1cc31999c7a4587c08bf9ec3eb86aaa70c02be0f7acc69e63c4d5c8a61,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,190,,,,,,,,,,NOT_RUN_AFTER_STOP
15,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_020,buy_020,b1e6dd54-edc1-5ef1-9f39-dc5e28db2e81,a7006d74428646da4ef757274d2622ab3b55f9cf38a9c44c8d9798fe66542018,347.243,,98211dd0fb1de99672bdac7aa07c5423d090dbcbfef2c392737e646742528fa0,,58c401cfaf6521a36198eef74d6344a8dd65794bde7a3e44ec16f697f87340e5,,7dd7b691e34dbfb2ee5dd9ff2238113102ccce1468a6a632ddcf3220142e41dd,,91d919c0c8c015a9dfe66ef0411274513a714f56b83dc9e32beeaf89a4fb1d29,,a17c522d4016c0fcfd7a3ea27b78e268ffe67b0986bcfbb19a4e485c37344c45,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,192,,,,,,,,,,NOT_RUN_AFTER_STOP
16,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_021,buy_021,07a2e28a-a1fd-598b-9df1-e7e36dd08d4d,899a4ffa6388332498b873105d36c1766b5c1c9828d610113c1ed18e72276b5e,376.03,,78509dd8915078efd908add515ff56f61219d22c9f357ac139c9777267e4c15c,,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,,3eb3791a392988bd847983f88e7ff7201267d6071e6fe62b53b3f0b8a986bac2,,6e09ae80cb8337ef02d71d1a15a7cedbc458cd1d97ea38acf41f2f86b1c7ed37,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,193,,,,,,,,,,NOT_RUN_AFTER_STOP
17,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_022,buy_022,6be17ed2-4993-55ee-9c9e-9226e10f8c3f,c0555e8ebb0d8012048ffea4c875d1940deed649fe2585b3f69a931066c0672e,291.135,,39ac398df8ed49b741e0a41b5730cec07f723039da15d48a0358eaae90c0634a,,ed0b452d372620c5d767fc186b66c61eb8810093dd9da56140e57512e948994a,,7d2eaa00eb29aefe3802d9d579d66e35f1c49ddd4dce0d09efa5412cfef19099,,0213860b320c3b95f2f21db3d767f7f72cdd807e5f5d247b97ad06d3ac96cd72,,54247f3ca482c26ac02d544be6defd2b0e21ec7721de315e567578d64a60783d,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,189,,,,,,,,,,NOT_RUN_AFTER_STOP
18,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_024,buy_024,bc835d88-299a-50db-ad43-c6637b07fa66,f2062619182f111a83fe54cca52b8bf23ea4389afc56061abfc921b0ac7da2f5,245.789,,dc654daae99cfa6cb58ed04524f883bf9515117f21f84de7b5864e04a513de61,,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,,470e44c71f6f1ee22e1f5267b842bd72b391dd89f75832e01487957af031fea9,,89ea9329c56b191e22a747edaab0944f3e9128fb8dae0f9725dbb199aa2bd661,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,193,,,,,,,,,,NOT_RUN_AFTER_STOP
19,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_025,buy_025,f91ec1a9-c609-59c9-867c-a441ebabf82f,8a9acfd7b601486b120c535e1a7f23fc24d3cae211693b09ec1fe9481c4020fb,270.117,,3f2635625d5f91e7c42da460793a81eafcfc810d3b824b77f00e28ce75b5a477,,3a51e5eb3e3f18f8f357c95f5fa74211a1db462d6279880c178892951805a93e,,eff5246ac0c5ecf3a9f79288da30634a2149060f4e46dc3f4d1844ac1724a5c8,,65fff5ba236b2df500cdb86898f615a9c4fbc1a75f6053736a560522ad7de588,,6146e908511643ae072042106c8d41228a4368de81e4ecaf1022d10a6ae4defd,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,193,,,,,,,,,,NOT_RUN_AFTER_STOP
20,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_027,buy_027,1a393cf2-6f8b-5ef5-9ce7-5fa9c1fc69e4,137cd526cd50803364dc05830602d1ca6ed01b199786e030b065b21759f5fe76,282.015,,a3db021d4ef871448e1db49b30b7680159636b0f7141b3e652d85e6d9545b605,,1f9fa1ff16a23f689252f828728a2431fef70ea4e96b9a111f1c84b29cc3420c,,37c7f2ec39de93327308d1c1204520cfa4e49fe81b9200155f41cf7790730237,,243cd04e7902198cc22906f87c741c3268aa8ec528fbfdefe53c7b8ef0a47494,,4d03ca12e498e448f176aadaaba92b8b5427037352b97c28eacdfd6402025f45,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,189,,,,,,,,,,NOT_RUN_AFTER_STOP
