cell_key,year,arm,config,status,verdict,evidence_path
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c09,2023,c09,9,done,MEASURED,D:\QM\reports\work_items\8ebe5f4c-b3d9-5bba-b13e-b097c222bd42\QM5_41405\20260911_110041\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c09,2024,c09,9,done,MEASURED,D:\QM\reports\work_items\507bd215-e963-5993-94e2-becf31b2da9e\QM5_41405\20260911_110400\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c09,2025,c09,9,done,MEASURED,D:\QM\reports\work_items\e830d813-3e52-5655-a788-fd530cc2325f\QM5_41405\20260911_110641\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c10,2019,c10,10,done,MEASURED,D:\QM\reports\work_items\a8cef8f6-1fc9-5897-832a-5c0abd0bce65\QM5_41405\20260911_111024\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c10,2020,c10,10,done,MEASURED,D:\QM\reports\work_items\5d137768-7708-5172-bab3-5ddc99511584\QM5_41405\20260911_111332\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c10,2021,c10,10,done,MEASURED,D:\QM\reports\work_items\b52053d5-6494-5dd4-b783-399e4678d3ec\QM5_41405\20260911_111726\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c10,2022,c10,10,done,MEASURED,D:\QM\reports\work_items\c91d22b9-42a6-5dab-b1b0-17ea75a70327\QM5_41405\20260911_112214\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c10,2023,c10,10,done,MEASURED,D:\QM\reports\work_items\9598935f-41f5-5c2e-8f53-3e2ecf26c6de\QM5_41405\20260911_112615\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c10,2024,c10,10,done,MEASURED,D:\QM\reports\work_items\00b94459-bc08-5819-9aaa-5d001bbd3363\QM5_41405\20260911_113009\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c10,2025,c10,10,done,MEASURED,D:\QM\reports\work_items\bf6f023c-42ca-5ebd-b34f-aff1d37f940d\QM5_41405\20260911_113349\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c11,2019,c11,11,done,MEASURED,D:\QM\reports\work_items\fb82e1bc-d379-5bf9-a7e3-c6f56a2676f9\QM5_41405\20260911_113708\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c11,2020,c11,11,done,MEASURED,D:\QM\reports\work_items\90640a9a-899d-5faf-a75a-36d14a8e15fa\QM5_41405\20260911_114045\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c11,2021,c11,11,done,MEASURED,D:\QM\reports\work_items\7aa8df81-3f76-52de-ae6c-1a481198daad\QM5_41405\20260911_114328\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c11,2022,c11,11,done,MEASURED,D:\QM\reports\work_items\db969be3-705c-5c44-a3fb-321bed45d3ed\QM5_41405\20260911_114727\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c11,2023,c11,11,done,MEASURED,D:\QM\reports\work_items\96c078a4-0acf-5a32-9e47-18c3c68dc896\QM5_41405\20260911_115124\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c11,2024,c11,11,done,MEASURED,D:\QM\reports\work_items\24ee238c-55ff-5caf-8326-5c4d6b66a3a7\QM5_41405\20260911_115444\summary.json
