symbol,fix_code,era,prefix_window_min,threshold_atr,holding_min,broker_hour,in_session_band,n_anchors,n_trigger,r_base_atr
EURUSD.DWX,WMR_1600,IS,15,0.8,15,10,0,1550,403,0.1135194842
EURUSD.DWX,WMR_1600,IS,15,0.8,15,11,0,100,24,-0.02298395775
EURUSD.DWX,WMR_1600,IS,15,0.8,15,15,1,1388,172,0.1159342158
EURUSD.DWX,WMR_1600,IS,15,0.8,15,16,1,95,20,-0.088658105
EURUSD.DWX,WMR_1600,IS,15,0.8,15,20,1,1449,25,-0.04862376277
EURUSD.DWX,WMR_1600,IS,15,0.8,15,21,1,1549,14,-0.1869996191
EURUSD.DWX,WMR_1600,IS,15,0.8,15,22,1,1547,53,0.06172272138
EURUSD.DWX,WMR_1600,IS,15,0.8,15,23,0,1315,14,0.1022210076
EURUSD.DWX,WMR_1600,IS,15,0.8,30,0,0,1080,12,0.201847848
EURUSD.DWX,WMR_1600,IS,15,0.8,30,1,0,1047,7,0.5680544945
EURUSD.DWX,WMR_1600,IS,15,0.8,30,2,0,1045,21,0.1579011164
EURUSD.DWX,WMR_1600,IS,15,0.8,30,3,0,1045,55,-0.09883515806
EURUSD.DWX,WMR_1600,IS,15,0.8,30,4,0,1045,133,0.1213989423
EURUSD.DWX,WMR_1600,IS,15,0.8,30,5,0,1046,133,0.01166071918
EURUSD.DWX,WMR_1600,IS,15,0.8,30,6,0,1047,92,0.1290338726
EURUSD.DWX,WMR_1600,IS,15,0.8,30,7,0,1048,38,0.1001985841
EURUSD.DWX,WMR_1600,IS,15,0.8,30,8,0,1492,136,0.09464390675
EURUSD.DWX,WMR_1600,IS,15,0.8,30,9,0,1547,243,0.1816182922
EURUSD.DWX,WMR_1600,IS,15,0.8,30,10,0,1550,403,0.1402724135
EURUSD.DWX,WMR_1600,IS,15,0.8,30,11,0,100,24,-0.03798858147
EURUSD.DWX,WMR_1600,IS,15,0.8,30,15,1,1388,172,0.1017873669
EURUSD.DWX,WMR_1600,IS,15,0.8,30,16,1,95,20,-0.1607701527
EURUSD.DWX,WMR_1600,IS,15,0.8,30,20,1,1449,25,-0.1879868443
EURUSD.DWX,WMR_1600,IS,15,0.8,30,21,1,1549,14,-0.3429702001
EURUSD.DWX,WMR_1600,IS,15,0.8,30,22,1,1547,53,0.05994505464
EURUSD.DWX,WMR_1600,IS,15,0.8,30,23,0,1315,14,0.1184490997
EURUSD.DWX,WMR_1600,IS,15,0.8,45,0,0,1080,12,0.3022754105
EURUSD.DWX,WMR_1600,IS,15,0.8,45,1,0,1047,7,0.5283780786
EURUSD.DWX,WMR_1600,IS,15,0.8,45,2,0,1045,21,0.1339501944
EURUSD.DWX,WMR_1600,IS,15,0.8,45,3,0,1045,55,-0.1659599962
EURUSD.DWX,WMR_1600,IS,15,0.8,45,4,0,1045,133,0.2221535621
EURUSD.DWX,WMR_1600,IS,15,0.8,45,5,0,1046,133,0.02805927531
EURUSD.DWX,WMR_1600,IS,15,0.8,45,6,0,1047,92,0.1683669483
EURUSD.DWX,WMR_1600,IS,15,0.8,45,7,0,1048,38,0.1386844076
EURUSD.DWX,WMR_1600,IS,15,0.8,45,8,0,1492,136,0.06747693492
EURUSD.DWX,WMR_1600,IS,15,0.8,45,9,0,1547,243,0.2776747572
EURUSD.DWX,WMR_1600,IS,15,0.8,45,10,0,1550,403,0.195542237
EURUSD.DWX,WMR_1600,IS,15,0.8,45,11,0,100,24,0.05606748763
EURUSD.DWX,WMR_1600,IS,15,0.8,45,15,1,1388,172,0.1529508974
EURUSD.DWX,WMR_1600,IS,15,0.8,45,16,1,95,20,-0.1691445317
EURUSD.DWX,WMR_1600,IS,15,0.8,45,20,1,1449,25,-0.3086065181
EURUSD.DWX,WMR_1600,IS,15,0.8,45,21,1,1549,14,-0.3321179535
EURUSD.DWX,WMR_1600,IS,15,0.8,45,22,1,1547,53,-0.05739963104
EURUSD.DWX,WMR_1600,IS,15,0.8,45,23,0,1315,14,0.06923414223
EURUSD.DWX,WMR_1600,IS,15,0.8,60,0,0,1080,12,0.1436883296
EURUSD.DWX,WMR_1600,IS,15,0.8,60,1,0,1047,7,0.4819816353
EURUSD.DWX,WMR_1600,IS,15,0.8,60,2,0,1045,21,0.1967488979
EURUSD.DWX,WMR_1600,IS,15,0.8,60,3,0,1045,55,-0.07726828248
EURUSD.DWX,WMR_1600,IS,15,0.8,60,4,0,1045,133,0.2005935039
EURUSD.DWX,WMR_1600,IS,15,0.8,60,5,0,1046,133,0.0861427841
EURUSD.DWX,WMR_1600,IS,15,0.8,60,6,0,1047,92,0.1553800877
EURUSD.DWX,WMR_1600,IS,15,0.8,60,7,0,1048,38,0.1235462539
EURUSD.DWX,WMR_1600,IS,15,0.8,60,8,0,1492,136,0.0501667132
EURUSD.DWX,WMR_1600,IS,15,0.8,60,9,0,1547,243,0.2761708816
EURUSD.DWX,WMR_1600,IS,15,0.8,60,10,0,1550,403,0.1830312793
EURUSD.DWX,WMR_1600,IS,15,0.8,60,11,0,100,24,0.1348752439
EURUSD.DWX,WMR_1600,IS,15,0.8,60,15,1,1388,172,0.1714602332
EURUSD.DWX,WMR_1600,IS,15,0.8,60,16,1,95,20,-0.1414880276
EURUSD.DWX,WMR_1600,IS,15,0.8,60,20,1,1449,25,-0.3820116167
EURUSD.DWX,WMR_1600,IS,15,0.8,60,21,1,1549,14,-0.4070430145
EURUSD.DWX,WMR_1600,IS,15,0.8,60,22,1,1547,53,-0.09816140466
EURUSD.DWX,WMR_1600,IS,15,0.8,60,23,0,1315,14,-0.004041697619
EURUSD.DWX,WMR_1600,IS,30,0.4,15,0,0,1080,186,0.1109084033
EURUSD.DWX,WMR_1600,IS,30,0.4,15,1,0,1047,123,0.1014220189
EURUSD.DWX,WMR_1600,IS,30,0.4,15,2,0,1045,275,0.01576702835
EURUSD.DWX,WMR_1600,IS,30,0.4,15,3,0,1045,411,0.0410636145
EURUSD.DWX,WMR_1600,IS,30,0.4,15,4,0,1045,587,0.01454441458
EURUSD.DWX,WMR_1600,IS,30,0.4,15,5,0,1046,614,-0.008517966665
EURUSD.DWX,WMR_1600,IS,30,0.4,15,6,0,1047,510,0.02236859814
EURUSD.DWX,WMR_1600,IS,30,0.4,15,7,0,1048,435,0.01741989182
EURUSD.DWX,WMR_1600,IS,30,0.4,15,8,0,1492,721,0.07493082389
EURUSD.DWX,WMR_1600,IS,30,0.4,15,9,0,1547,893,0.0993397742
EURUSD.DWX,WMR_1600,IS,30,0.4,15,10,0,1550,1075,0.1105094357
EURUSD.DWX,WMR_1600,IS,30,0.4,15,11,0,100,67,0.02381723408
EURUSD.DWX,WMR_1600,IS,30,0.4,15,15,1,1388,741,0.05521226439
EURUSD.DWX,WMR_1600,IS,30,0.4,15,16,1,95,62,0.03226067359
EURUSD.DWX,WMR_1600,IS,30,0.4,15,20,1,1449,477,-0.001273859259
EURUSD.DWX,WMR_1600,IS,30,0.4,15,21,1,1549,415,-0.0325022456
EURUSD.DWX,WMR_1600,IS,30,0.4,15,22,1,1547,468,0.07179566388
EURUSD.DWX,WMR_1600,IS,30,0.4,15,23,0,1315,371,0.08072037648
EURUSD.DWX,WMR_1600,IS,30,0.4,30,0,0,1080,186,0.1095071586
EURUSD.DWX,WMR_1600,IS,30,0.4,30,1,0,1047,123,0.08455146811
EURUSD.DWX,WMR_1600,IS,30,0.4,30,2,0,1045,275,-0.00273778159
EURUSD.DWX,WMR_1600,IS,30,0.4,30,3,0,1045,411,0.05166526718
EURUSD.DWX,WMR_1600,IS,30,0.4,30,4,0,1045,587,0.03154317554
EURUSD.DWX,WMR_1600,IS,30,0.4,30,5,0,1046,614,0.01082140214
EURUSD.DWX,WMR_1600,IS,30,0.4,30,6,0,1047,510,0.03862885001
EURUSD.DWX,WMR_1600,IS,30,0.4,30,7,0,1048,435,0.01569023653
EURUSD.DWX,WMR_1600,IS,30,0.4,30,8,0,1492,721,0.07446519381
EURUSD.DWX,WMR_1600,IS,30,0.4,30,9,0,1547,893,0.1082099867
EURUSD.DWX,WMR_1600,IS,30,0.4,30,10,0,1550,1075,0.1408930653
EURUSD.DWX,WMR_1600,IS,30,0.4,30,11,0,100,67,0.02269812274
EURUSD.DWX,WMR_1600,IS,30,0.4,30,15,1,1388,741,0.0818977398
EURUSD.DWX,WMR_1600,IS,30,0.4,30,16,1,95,62,0.02022214876
EURUSD.DWX,WMR_1600,IS,30,0.4,30,20,1,1449,477,0.005877051324
EURUSD.DWX,WMR_1600,IS,30,0.4,30,21,1,1549,415,-0.009888878581
EURUSD.DWX,WMR_1600,IS,30,0.4,30,22,1,1547,468,0.06046292491
EURUSD.DWX,WMR_1600,IS,30,0.4,30,23,0,1315,371,0.07901731038
EURUSD.DWX,WMR_1600,IS,30,0.4,45,0,0,1080,186,0.09268543861
EURUSD.DWX,WMR_1600,IS,30,0.4,45,1,0,1047,123,0.06824581414
EURUSD.DWX,WMR_1600,IS,30,0.4,45,2,0,1045,275,-0.01392581671
EURUSD.DWX,WMR_1600,IS,30,0.4,45,3,0,1045,411,0.05602541151
EURUSD.DWX,WMR_1600,IS,30,0.4,45,4,0,1045,587,0.02804706105
EURUSD.DWX,WMR_1600,IS,30,0.4,45,5,0,1046,614,0.02093993323
EURUSD.DWX,WMR_1600,IS,30,0.4,45,6,0,1047,510,0.06566369146
EURUSD.DWX,WMR_1600,IS,30,0.4,45,7,0,1048,435,0.04503346919
EURUSD.DWX,WMR_1600,IS,30,0.4,45,8,0,1492,721,0.1073748679
EURUSD.DWX,WMR_1600,IS,30,0.4,45,9,0,1547,893,0.1411451396
EURUSD.DWX,WMR_1600,IS,30,0.4,45,10,0,1550,1075,0.1718269336
EURUSD.DWX,WMR_1600,IS,30,0.4,45,11,0,100,67,0.3132072946
EURUSD.DWX,WMR_1600,IS,30,0.4,45,15,1,1388,741,0.1270730835
EURUSD.DWX,WMR_1600,IS,30,0.4,45,16,1,95,62,0.06233557153
EURUSD.DWX,WMR_1600,IS,30,0.4,45,20,1,1449,477,0.003098108378
EURUSD.DWX,WMR_1600,IS,30,0.4,45,21,1,1549,415,-0.00913509413
EURUSD.DWX,WMR_1600,IS,30,0.4,45,22,1,1547,468,0.04027090169
EURUSD.DWX,WMR_1600,IS,30,0.4,45,23,0,1315,371,0.08951966664
EURUSD.DWX,WMR_1600,IS,30,0.4,60,0,0,1080,186,0.08850413803
EURUSD.DWX,WMR_1600,IS,30,0.4,60,1,0,1047,123,0.05131973416
EURUSD.DWX,WMR_1600,IS,30,0.4,60,2,0,1045,275,0.02134901613
EURUSD.DWX,WMR_1600,IS,30,0.4,60,3,0,1045,411,0.02958509326
EURUSD.DWX,WMR_1600,IS,30,0.4,60,4,0,1045,587,0.05194664358
EURUSD.DWX,WMR_1600,IS,30,0.4,60,5,0,1046,614,0.004161671453
EURUSD.DWX,WMR_1600,IS,30,0.4,60,6,0,1047,510,0.04706311658
EURUSD.DWX,WMR_1600,IS,30,0.4,60,7,0,1048,435,0.01727002323
EURUSD.DWX,WMR_1600,IS,30,0.4,60,8,0,1492,721,0.1067730221
EURUSD.DWX,WMR_1600,IS,30,0.4,60,9,0,1547,893,0.1282660154
EURUSD.DWX,WMR_1600,IS,30,0.4,60,10,0,1550,1075,0.1281160884
EURUSD.DWX,WMR_1600,IS,30,0.4,60,11,0,100,67,0.4099648771
EURUSD.DWX,WMR_1600,IS,30,0.4,60,15,1,1388,741,0.1334981232
EURUSD.DWX,WMR_1600,IS,30,0.4,60,16,1,95,62,0.1803852418
EURUSD.DWX,WMR_1600,IS,30,0.4,60,20,1,1449,477,0.02256598262
EURUSD.DWX,WMR_1600,IS,30,0.4,60,21,1,1549,415,0.01108113949
EURUSD.DWX,WMR_1600,IS,30,0.4,60,22,1,1547,468,0.03017401381
EURUSD.DWX,WMR_1600,IS,30,0.4,60,23,0,1315,371,0.07978450299
EURUSD.DWX,WMR_1600,IS,30,0.6,15,0,0,1080,67,0.124649224
EURUSD.DWX,WMR_1600,IS,30,0.6,15,1,0,1047,38,0.2102984886
EURUSD.DWX,WMR_1600,IS,30,0.6,15,2,0,1045,115,-0.0003779510661
EURUSD.DWX,WMR_1600,IS,30,0.6,15,3,0,1045,232,0.04503285765
EURUSD.DWX,WMR_1600,IS,30,0.6,15,4,0,1045,394,0.02049689591
EURUSD.DWX,WMR_1600,IS,30,0.6,15,5,0,1046,439,-0.003850506702
EURUSD.DWX,WMR_1600,IS,30,0.6,15,6,0,1047,309,0.02755169271
EURUSD.DWX,WMR_1600,IS,30,0.6,15,7,0,1048,244,-0.0008508342925
EURUSD.DWX,WMR_1600,IS,30,0.6,15,8,0,1492,456,0.08684657626
EURUSD.DWX,WMR_1600,IS,30,0.6,15,9,0,1547,642,0.1043603881
EURUSD.DWX,WMR_1600,IS,30,0.6,15,10,0,1550,839,0.1178291142
EURUSD.DWX,WMR_1600,IS,30,0.6,15,11,0,100,55,-0.06517173619
EURUSD.DWX,WMR_1600,IS,30,0.6,15,15,1,1388,504,0.07384285683
EURUSD.DWX,WMR_1600,IS,30,0.6,15,16,1,95,51,0.05517292003
EURUSD.DWX,WMR_1600,IS,30,0.6,15,20,1,1449,243,-0.01845199507
EURUSD.DWX,WMR_1600,IS,30,0.6,15,21,1,1549,182,-0.01669250434
EURUSD.DWX,WMR_1600,IS,30,0.6,15,22,1,1547,207,0.1088115289
EURUSD.DWX,WMR_1600,IS,30,0.6,15,23,0,1315,146,0.08326811031
EURUSD.DWX,WMR_1600,IS,30,0.6,30,0,0,1080,67,0.136002933
EURUSD.DWX,WMR_1600,IS,30,0.6,30,1,0,1047,38,0.2300836301
EURUSD.DWX,WMR_1600,IS,30,0.6,30,2,0,1045,115,0.01381482973
EURUSD.DWX,WMR_1600,IS,30,0.6,30,3,0,1045,232,0.04828589011
EURUSD.DWX,WMR_1600,IS,30,0.6,30,4,0,1045,394,0.07014455072
EURUSD.DWX,WMR_1600,IS,30,0.6,30,5,0,1046,439,0.0153420611
EURUSD.DWX,WMR_1600,IS,30,0.6,30,6,0,1047,309,0.0764621966
