checked_at_local,ready,status,card_status,card_ea_id,has_strategy_id,has_slug
2026-04-28T15:20:09+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:20:40+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:21:08+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:21:55+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:22:29+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:23:05+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:23:34+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:24:02+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:24:22+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:24:53+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:25:23+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:25:49+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:26:23+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:26:53+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:27:16+02:00,False,blocked,DRAFT,TBD,False,False
