datetime,currency,event_name,impact
2020-09-11 12:30:00,USD,CPI m/m,high
2020-09-16 18:00:00,USD,FOMC Statement,high
2020-10-02 12:30:00,USD,Non-Farm Employment Change,high
2020-10-13 12:30:00,USD,CPI m/m,high
2020-10-14 12:30:00,USD,PPI m/m,high
2020-11-05 19:00:00,USD,FOMC Statement,high
2020-11-06 13:30:00,USD,Non-Farm Employment Change,high
2020-11-12 13:30:00,USD,CPI m/m,high
2020-11-13 13:30:00,USD,PPI m/m,high
2020-12-04 13:30:00,USD,Non-Farm Employment Change,high
2020-12-10 13:30:00,USD,CPI m/m,high
2020-12-11 13:30:00,USD,PPI m/m,high
2020-12-16 19:00:00,USD,FOMC Statement,high
2021-01-08 13:30:00,USD,Non-Farm Employment Change,high
2021-01-13 13:30:00,USD,CPI m/m,high
2021-01-15 13:30:00,USD,PPI m/m,high
2021-01-27 19:00:00,USD,FOMC Statement,high
2021-02-05 13:30:00,USD,Non-Farm Employment Change,high
2021-02-10 13:30:00,USD,CPI m/m,high
2021-02-17 13:30:00,USD,PPI m/m,high
2021-03-05 13:30:00,USD,Non-Farm Employment Change,high
2021-03-10 13:30:00,USD,CPI m/m,high
2021-03-12 13:30:00,USD,PPI m/m,high
2021-03-17 18:00:00,USD,FOMC Statement,high
2021-04-02 12:30:00,USD,Non-Farm Employment Change,high
2021-04-09 12:30:00,USD,PPI m/m,high
2021-04-13 12:30:00,USD,CPI m/m,high
2021-04-28 18:00:00,USD,FOMC Statement,high
2021-05-07 12:30:00,USD,Non-Farm Employment Change,high
2021-05-12 12:30:00,USD,CPI m/m,high
2021-05-13 12:30:00,USD,PPI m/m,high
2021-06-04 12:30:00,USD,Non-Farm Employment Change,high
2021-06-10 12:30:00,USD,CPI m/m,high
2021-06-15 12:30:00,USD,PPI m/m,high
2021-06-16 18:00:00,USD,FOMC Statement,high
2021-07-02 12:30:00,USD,Non-Farm Employment Change,high
2021-07-13 12:30:00,USD,CPI m/m,high
2021-07-14 12:30:00,USD,PPI m/m,high
2021-07-28 18:00:00,USD,FOMC Statement,high
2021-08-06 12:30:00,USD,Non-Farm Employment Change,high
2021-08-11 12:30:00,USD,CPI m/m,high
2021-08-12 12:30:00,USD,PPI m/m,high
2021-09-03 12:30:00,USD,Non-Farm Employment Change,high
2021-09-10 12:30:00,USD,PPI m/m,high
2021-09-14 12:30:00,USD,CPI m/m,high
2021-09-22 18:00:00,USD,FOMC Statement,high
2021-10-08 12:30:00,USD,Non-Farm Employment Change,high
2021-10-13 12:30:00,USD,CPI m/m,high
2021-10-14 12:30:00,USD,PPI m/m,high
2021-11-03 18:00:00,USD,FOMC Statement,high
2021-11-05 12:30:00,USD,Non-Farm Employment Change,high
2021-11-09 13:30:00,USD,PPI m/m,high
2021-11-10 13:30:00,USD,CPI m/m,high
2021-12-03 13:30:00,USD,Non-Farm Employment Change,high
2021-12-10 13:30:00,USD,CPI m/m,high
2021-12-14 13:30:00,USD,PPI m/m,high
2021-12-15 19:00:00,USD,FOMC Statement,high
2022-01-07 13:30:00,USD,Non-Farm Employment Change,high
2022-01-12 13:30:00,USD,CPI m/m,high
2022-01-13 13:30:00,USD,PPI m/m,high
2022-01-26 19:00:00,USD,FOMC Statement,high
2022-02-04 13:30:00,USD,Non-Farm Employment Change,high
2022-02-10 13:30:00,USD,CPI m/m,high
2022-02-15 13:30:00,USD,PPI m/m,high
2022-03-04 13:30:00,USD,Non-Farm Employment Change,high
2022-03-10 13:30:00,USD,CPI m/m,high
2022-03-15 12:30:00,USD,PPI m/m,high
2022-03-16 18:00:00,USD,FOMC Statement,high
2022-04-01 12:30:00,USD,Non-Farm Employment Change,high
2022-04-12 12:30:00,USD,CPI m/m,high
2022-04-13 12:30:00,USD,PPI m/m,high
2022-05-04 18:00:00,USD,FOMC Statement,high
2022-05-06 12:30:00,USD,Non-Farm Employment Change,high
2022-05-11 12:30:00,USD,CPI m/m,high
2022-05-12 12:30:00,USD,PPI m/m,high
2022-06-03 12:30:00,USD,Non-Farm Employment Change,high
2022-06-10 12:30:00,USD,CPI m/m,high
2022-06-14 12:30:00,USD,PPI m/m,high
2022-06-15 18:00:00,USD,FOMC Statement,high
2022-07-08 12:30:00,USD,Non-Farm Employment Change,high
2022-07-13 12:30:00,USD,CPI m/m,high
2022-07-14 12:30:00,USD,PPI m/m,high
2022-07-27 18:00:00,USD,FOMC Statement,high
2022-08-05 12:30:00,USD,Non-Farm Employment Change,high
2022-08-10 12:30:00,USD,CPI m/m,high
2022-08-11 12:30:00,USD,PPI m/m,high
2022-09-02 12:30:00,USD,Non-Farm Employment Change,high
2022-09-13 12:30:00,USD,CPI m/m,high
2022-09-14 12:30:00,USD,PPI m/m,high
2022-09-21 18:00:00,USD,FOMC Statement,high
2022-10-07 12:30:00,USD,Non-Farm Employment Change,high
2022-10-12 12:30:00,USD,PPI m/m,high
2022-10-13 12:30:00,USD,CPI m/m,high
2022-11-02 18:00:00,USD,FOMC Statement,high
2022-11-04 12:30:00,USD,Non-Farm Employment Change,high
2022-11-10 13:30:00,USD,CPI m/m,high
2022-11-15 13:30:00,USD,PPI m/m,high
2022-12-02 13:30:00,USD,Non-Farm Employment Change,high
2022-12-09 13:30:00,USD,PPI m/m,high
2022-12-13 13:30:00,USD,CPI m/m,high
2022-12-14 19:00:00,USD,FOMC Statement,high
2023-01-06 13:30:00,USD,Non-Farm Employment Change,high
2023-01-12 13:30:00,USD,CPI m/m,high
2023-01-18 13:30:00,USD,PPI m/m,high
2023-02-01 19:00:00,USD,FOMC Statement,high
2023-02-03 13:30:00,USD,Non-Farm Employment Change,high
2023-02-14 13:30:00,USD,CPI m/m,high
2023-02-16 13:30:00,USD,PPI m/m,high
2023-03-10 13:30:00,USD,Non-Farm Employment Change,high
2023-03-14 12:30:00,USD,CPI m/m,high
2023-03-15 12:30:00,USD,PPI m/m,high
2023-03-22 18:00:00,USD,FOMC Statement,high
2023-04-07 12:30:00,USD,Non-Farm Employment Change,high
2023-04-12 12:30:00,USD,CPI m/m,high
2023-04-13 12:30:00,USD,PPI m/m,high
2023-05-03 18:00:00,USD,FOMC Statement,high
2023-05-05 12:30:00,USD,Non-Farm Employment Change,high
2023-05-10 12:30:00,USD,CPI m/m,high
2023-05-11 12:30:00,USD,PPI m/m,high
2023-06-02 12:30:00,USD,Non-Farm Employment Change,high
2023-06-13 12:30:00,USD,CPI m/m,high
2023-06-14 12:30:00,USD,PPI m/m,high
2023-06-14 18:00:00,USD,FOMC Statement,high
2023-07-07 12:30:00,USD,Non-Farm Employment Change,high
2023-07-12 12:30:00,USD,CPI m/m,high
