weekend_id,symbol,era,friday_close_utc,sunday_open_utc,friday_close,sunday_open,gap_raw,gap_pips,gap_dir,trade_side,atr_d1,gap_size_atr,high_5d,low_5d,range_5d,range_pos,range_bucket,is_conditioned,triggered,filled_by_timestop,filled_full_week,fill_time_utc,fill_elapsed_min,exit_reason,exit_time_utc,exit_price,mae_pips,mae_bp,gross_pnl_pips,gross_pnl_bp,spread_pips,net_pnl_pips,net_pnl_bp
2025-08-15_2025-08-17,GBPUSD.DWX,OOS,2025-08-15T20:50:00Z,2025-08-17T21:05:00Z,1.35553,1.35507,-0.00046,-4.6,-1,LONG,0.00908,0.0507,1.35946,1.3399,0.01956,0.7991,UPPER_THIRD,1,0,1,1,2025-08-17T21:35:00Z,30,FILL,2025-08-17T21:35:00Z,1.35553,1.9,1.4,4.6,3.39,1,3.6,2.66
2025-08-22_2025-08-24,GBPUSD.DWX,OOS,2025-08-22T20:50:00Z,2025-08-24T21:05:00Z,1.35267,1.35095,-0.00172,-17.2,-1,LONG,0.00798,0.2155,1.35646,1.33901,0.01745,0.7828,UPPER_THIRD,1,0,0,1,2025-08-25T06:20:00Z,555,STOP,2025-08-25T01:30:00Z,1.34923,18.4,13.62,-17.2,-12.73,1,-18.2,-13.47
2025-08-29_2025-08-31,GBPUSD.DWX,OOS,2025-08-29T20:50:00Z,2025-08-31T21:05:00Z,1.35037,1.34932,-0.00105,-10.5,-1,LONG,0.00775,0.1354,1.35304,1.34163,0.01141,0.766,UPPER_THIRD,1,0,1,1,2025-08-31T22:00:00Z,55,FILL,2025-08-31T22:00:00Z,1.35037,9.8,7.26,10.5,7.78,1,9.5,7.04
2025-09-05_2025-09-07,GBPUSD.DWX,OOS,2025-09-05T20:50:00Z,2025-09-07T21:05:00Z,1.35062,1.35019,-0.00043,-4.3,-1,LONG,0.00902,0.0476,1.35545,1.33331,0.02214,0.7818,UPPER_THIRD,1,0,0,1,2025-09-08T06:10:00Z,545,STOP,2025-09-07T21:55:00Z,1.34976,5.6,4.15,-4.3,-3.18,1,-5.3,-3.93
2025-09-12_2025-09-14,GBPUSD.DWX,OOS,2025-09-12T20:50:00Z,2025-09-14T21:05:00Z,1.35603,1.35364,-0.00239,-23.9,-1,LONG,0.00844,0.2833,1.35904,1.34824,0.0108,0.7213,UPPER_THIRD,1,0,1,1,2025-09-14T21:35:00Z,30,FILL,2025-09-14T21:35:00Z,1.35603,0,0,23.9,17.66,1,22.9,16.92
2025-09-19_2025-09-21,GBPUSD.DWX,OOS,2025-09-19T20:50:00Z,2025-09-21T21:10:00Z,1.34693,1.34577,-0.00116,-11.6,-1,LONG,0.00958,0.1211,1.3726,1.34628,0.02632,0.0247,LOWER_THIRD,0,0,1,1,2025-09-21T22:00:00Z,50,FILL,2025-09-21T22:00:00Z,1.34693,0,0,11.6,8.62,1,10.6,7.88
2025-09-26_2025-09-28,GBPUSD.DWX,OOS,2025-09-26T20:50:00Z,2025-09-28T21:05:00Z,1.34034,1.33855,-0.00179,-17.9,-1,LONG,0.00868,0.2062,1.35363,1.33188,0.02175,0.389,MIDDLE_THIRD,0,0,1,1,2025-09-28T22:00:00Z,55,FILL,2025-09-28T22:00:00Z,1.34034,0.2,0.15,17.9,13.37,1,16.9,12.63
2025-10-03_2025-10-05,GBPUSD.DWX,OOS,2025-10-03T20:50:00Z,2025-10-05T21:05:00Z,1.34791,1.34276,-0.00515,-51.5,-1,LONG,0.00898,0.5737,1.35272,1.33853,0.01419,0.661,MIDDLE_THIRD,0,1,0,1,2025-10-06T14:50:00Z,1065,TIMESTOP,2025-10-06T12:00:00Z,1.34265,11.3,8.42,-1.1,-0.82,1,-2.1,-1.56
2025-11-07_2025-11-09,GBPUSD.DWX,OOS,2025-11-07T21:50:00Z,2025-11-09T22:05:00Z,1.31596,1.31325,-0.00271,-27.1,-1,LONG,0.00925,0.293,1.31747,1.30099,0.01648,0.9084,UPPER_THIRD,1,0,1,1,2025-11-09T22:10:00Z,5,FILL,2025-11-09T22:10:00Z,1.31596,0,0,27.1,20.64,1,26.1,19.87
2025-11-14_2025-11-16,GBPUSD.DWX,OOS,2025-11-14T21:50:00Z,2025-11-16T22:05:00Z,1.31744,1.31519,-0.00225,-22.5,-1,LONG,0.00932,0.2415,1.32155,1.30842,0.01313,0.687,UPPER_THIRD,1,0,1,1,2025-11-17T07:35:00Z,570,FILL,2025-11-17T07:35:00Z,1.31744,16.3,12.39,22.5,17.11,1,21.5,16.35
