family,symbol,gate,distinct_fail_pairs
breakout,GBPJPY.DWX,Q04,14
range/fade,XAUUSD.DWX,Q04,14
other,AUDCHF.DWX,Q02,13
range/fade,WS30.DWX,Q02,13
trend/momentum,AUDCAD.DWX,Q02,13
trend/momentum,CADCHF.DWX,Q02,13
pullback,GBPUSD.DWX,Q02,13
other,EURNZD.DWX,Q02,13
other,GBPCHF.DWX,Q02,13
other,GBPNZD.DWX,Q02,13
other,NZDCHF.DWX,Q02,13
trend/momentum,GBPAUD.DWX,Q02,13
trend/momentum,NZDJPY.DWX,Q02,13
trend/momentum,XAGUSD.DWX,Q02,13
range/fade,GDAXI.DWX,Q04,13
trend/momentum,NDX.DWX,Q08,13
range/fade,GBPUSD.DWX,Q02,13
other,EURCHF.DWX,Q04,13
other,GBPCAD.DWX,Q04,13
mean-reversion,XTIUSD.DWX,Q04,13
pattern,XAUUSD.DWX,Q04,13
other,EURNZD.DWX,Q04,13
trend/momentum,AUDCHF.DWX,Q02,12
mean-reversion,UK100.DWX,Q02,12
trend/momentum,EURGBP.DWX,Q02,12
trend/momentum,EURNZD.DWX,Q02,12
trend/momentum,NZDCAD.DWX,Q02,12
trend/momentum,NZDCHF.DWX,Q02,12
oscillator/other,WS30.DWX,Q04,12
basket/statarb,NZDUSD.DWX,Q02,12
other,USDJPY.DWX,Q05,12
breakout,USDCAD.DWX,Q04,12
other,EURCAD.DWX,Q04,12
trend/momentum,GBPNZD.DWX,Q04,12
basket/statarb,EURUSD.DWX,Q04,12
mean-reversion,EURJPY.DWX,Q04,12
other,XTIUSD.DWX,Q03,12
trend/momentum,CADJPY.DWX,Q02,11
mean-reversion,USDCAD.DWX,Q02,11
other,NZDJPY.DWX,Q02,11
trend/momentum,GBPCAD.DWX,Q02,11
oscillator/other,NZDUSD.DWX,Q04,11
trend/momentum,NDX.DWX,Q05,11
oscillator/other,EURJPY.DWX,Q04,11
range/fade,NDX.DWX,Q04,11
mean-reversion,NZDUSD.DWX,Q04,11
breakout,XNGUSD.DWX,Q02,11
oscillator/other,XTIUSD.DWX,Q02,11
pullback,USDJPY.DWX,Q02,10
trend/momentum,EURCAD.DWX,Q02,10
trend/momentum,GBPCHF.DWX,Q02,10
basket/statarb,AUDUSD.DWX,Q04,10
other,SP500.DWX,Q08,10
oscillator/other,USDCAD.DWX,Q02,10
oscillator/other,GBPJPY.DWX,Q04,10
basket/statarb,NZDUSD.DWX,Q04,10
pullback,USDJPY.DWX,Q04,10
