family,symbol_class,timeframe,session,holding_class,n_pairs
breakout,fx_major,M30,unspecified,intraday,7
range/fade,fx_jpy,H4,unspecified,swing,7
pullback,index,D1,unspecified,position,7
range/fade,metal,H1,unspecified,intraday,7
trend/momentum,metal,?,unspecified,?,7
pattern,fx_major,M15,unspecified,intraday,7
pattern,index,H1,unspecified,intraday,7
other,metal,M15,session-open,intraday,7
other,fx_major,M15,session-open,intraday,7
oscillator/other,index,M1,unspecified,scalp,7
other,index,M5,session-open,scalp,7
mean-reversion,fx_major,M30,unspecified,intraday,7
basket/statarb,fx_major,M15,unspecified,intraday,7
range/fade,index,M30,unspecified,intraday,7
range/fade,fx_major,M5,unspecified,scalp,7
other,fx_jpy,M15,session-open,intraday,7
oscillator/other,other,D1,unspecified,position,7
trend/momentum,other,H1,unspecified,intraday,7
session/ORB,fx_jpy,M15,session-open,intraday,7
session/ORB,fx_major,D1,overnight/seasonal,position,7
session/ORB,index,D1,overnight/seasonal,position,6
session/ORB,fx_major,M5,asian,scalp,6
oscillator/other,index,M15,session-open,intraday,6
breakout,fx_jpy,M30,unspecified,intraday,6
oscillator/other,index,?,unspecified,?,6
trend/momentum,fx_jpy,?,unspecified,?,6
pattern,fx_jpy,H4,unspecified,swing,6
session/ORB,metal,M15,asian,intraday,6
trend/momentum,energy,M15,unspecified,intraday,6
session/ORB,index,H1,overnight/seasonal,intraday,6
oscillator/other,index,M30,unspecified,intraday,6
other,fx_jpy,M1,unspecified,scalp,6
session/ORB,index,M15,overnight/seasonal,intraday,6
range/fade,index,M5,unspecified,scalp,6
session/ORB,index,M30,overnight/seasonal,intraday,6
pullback,metal,H4,unspecified,swing,6
grid/pyramid,energy,D1,unspecified,position,6
trend/momentum,index,D1,overnight/seasonal,position,6
trend/momentum,fx_major,W1,unspecified,position,6
trend/momentum,index,W1,unspecified,position,6
oscillator/other,energy,H4,unspecified,swing,6
pullback,fx_major,M5,unspecified,scalp,6
grid/pyramid,metal,H4,unspecified,swing,6
breakout,fx_jpy,W1,unspecified,position,5
session/ORB,fx_major,M30,session-open,intraday,5
