terminal,symbol,month,present,disk_size,manifest_size,disk_sha256,manifest_sha256,classification,note
T1,GDAXI.DWX,202511,True,2375224,2375224,6b7479a677f327ae09384d8b466a40bd10609075292cbb302779cf97d5b24ff6,6b7479a677f327ae09384d8b466a40bd10609075292cbb302779cf97d5b24ff6,INTACT,size+sha256 match signed manifest
T1,JPN225.DWX,202510,False,,,,,UNVERIFIABLE,manifest has no entry for this symbol/month
T1,JPN225.DWX,202511,False,,,,,UNVERIFIABLE,manifest has no entry for this symbol/month
T1,NDX.DWX,202510,True,33514298,33514298,74ab1cfa183784e39c7773af81d55486620609253b102f3d50dcadc49aefb90a,74ab1cfa183784e39c7773af81d55486620609253b102f3d50dcadc49aefb90a,INTACT,size+sha256 match signed manifest
T1,NDX.DWX,202511,True,40199827,40199827,7e4f76e4be70ba6d18e876db3e47497b920480d9464528b6328e9a3d80324c5f,7e4f76e4be70ba6d18e876db3e47497b920480d9464528b6328e9a3d80324c5f,INTACT,size+sha256 match signed manifest
T1,NZDCAD.DWX,202510,True,1497105,1497105,0f7d2b08d1ea06a95725a6f32064eab01fe0e37da7bfa7cd39275839061a6064,0f7d2b08d1ea06a95725a6f32064eab01fe0e37da7bfa7cd39275839061a6064,INTACT,size+sha256 match signed manifest
T1,NZDCAD.DWX,202511,True,5745468,5745468,eda06a9f519ecac962fbebc12708813c4c4e8beedec02152ab26c18087eaf110,eda06a9f519ecac962fbebc12708813c4c4e8beedec02152ab26c18087eaf110,INTACT,size+sha256 match signed manifest
T1,NZDCHF.DWX,202510,True,1323193,1323193,7a79dc340cff09d6512ce6324e7122752000a44d4cfd4eee01d1574aaf746b5e,7a79dc340cff09d6512ce6324e7122752000a44d4cfd4eee01d1574aaf746b5e,INTACT,size+sha256 match signed manifest
T1,NZDCHF.DWX,202511,True,4850132,4850132,a04b5a6505c381073713df62067b9574fbaea298567868319bc3db9ae136f9d5,a04b5a6505c381073713df62067b9574fbaea298567868319bc3db9ae136f9d5,INTACT,size+sha256 match signed manifest
T1,NZDJPY.DWX,202510,True,2080300,2080300,dacb2eda0acc6d5e471078b8f63abdc85411a092943751f7b70f3d1dd47a3793,dacb2eda0acc6d5e471078b8f63abdc85411a092943751f7b70f3d1dd47a3793,INTACT,size+sha256 match signed manifest
T1,NZDJPY.DWX,202511,True,7854358,7854358,17665a9ea073aa4902ea4ac65d5c4b4790e52f04d1b097633633b4ac3410c0fc,17665a9ea073aa4902ea4ac65d5c4b4790e52f04d1b097633633b4ac3410c0fc,INTACT,size+sha256 match signed manifest
T1,NZDUSD.DWX,202510,True,1200796,1200796,4804579de79384505994fecbb3eeee54ab971a91b16625767c4ab3d2670bb104,4804579de79384505994fecbb3eeee54ab971a91b16625767c4ab3d2670bb104,INTACT,size+sha256 match signed manifest
T1,NZDUSD.DWX,202511,True,4505934,4505934,2ce78c4cbb18195829039192db363c1e98e350e922bbc5c91091eea3d3cedc8f,2ce78c4cbb18195829039192db363c1e98e350e922bbc5c91091eea3d3cedc8f,INTACT,size+sha256 match signed manifest
T1,SP500.DWX,202510,True,6853963,6853963,c6cb3d02aa69bcc4968c41f720e0ebe02135c540237e7f4c7e9e0383980c3a34,c6cb3d02aa69bcc4968c41f720e0ebe02135c540237e7f4c7e9e0383980c3a34,INTACT,size+sha256 match signed manifest
T1,SP500.DWX,202511,True,7908262,7908262,7169af37760cb73cf78fa6fafae7fdc98abcd9df5cea947f7bafeaf593125683,7169af37760cb73cf78fa6fafae7fdc98abcd9df5cea947f7bafeaf593125683,INTACT,size+sha256 match signed manifest
T1,UK100.DWX,202510,True,3645868,3645868,b392a128404a10bbea56fa928edbd147b262ef83728bc47ad37f7a8badc8f20a,b392a128404a10bbea56fa928edbd147b262ef83728bc47ad37f7a8badc8f20a,INTACT,size+sha256 match signed manifest
T1,UK100.DWX,202511,True,4148274,4148274,b457c06dde2a3401152b987ad8599c5729c472fb6c8ad12dad65ae54b93e9e76,b457c06dde2a3401152b987ad8599c5729c472fb6c8ad12dad65ae54b93e9e76,INTACT,size+sha256 match signed manifest
T1,USDCAD.DWX,202510,True,1668980,1668980,4ae668d7dd9fe1a6a4dd07ac3eed523ca2997b05e2a216e7e36977f001cd525c,4ae668d7dd9fe1a6a4dd07ac3eed523ca2997b05e2a216e7e36977f001cd525c,INTACT,size+sha256 match signed manifest
T1,USDCAD.DWX,202511,True,4839043,4839043,0f67f8f4eef47844c13b54312cff685e8bbdceb59a6bd3f1ba20adeacb12ef40,0f67f8f4eef47844c13b54312cff685e8bbdceb59a6bd3f1ba20adeacb12ef40,INTACT,size+sha256 match signed manifest
T1,USDCHF.DWX,202510,True,1255909,1255909,92dc4b86cfd09b19d702b8b1084f29d4ab7bdaf384ee3846447d9b1a383d3f94,92dc4b86cfd09b19d702b8b1084f29d4ab7bdaf384ee3846447d9b1a383d3f94,INTACT,size+sha256 match signed manifest
T1,USDCHF.DWX,202511,True,4648974,4648974,0fb17e32f48c39834c1a4eea42ccb7d29b8058e0b4f5e66cb96ecac5852a39d0,0fb17e32f48c39834c1a4eea42ccb7d29b8058e0b4f5e66cb96ecac5852a39d0,INTACT,size+sha256 match signed manifest
T1,USDJPY.DWX,202510,True,2391444,2391444,8a73138d3e68e03b6bfe102d41514442a01186e753f798c25de86e0d10dfbd4a,8a73138d3e68e03b6bfe102d41514442a01186e753f798c25de86e0d10dfbd4a,INTACT,size+sha256 match signed manifest
T1,USDJPY.DWX,202511,True,8484332,8484332,fc92559b6733371d824ab5a68420e5c09cc186463be01990bae1493c31acc776,fc92559b6733371d824ab5a68420e5c09cc186463be01990bae1493c31acc776,INTACT,size+sha256 match signed manifest
T1,WS30.DWX,202510,True,5891936,5891936,4ff2ba97c62b9ffbee3f730604c9bc96cd717998ff352080b0ee3b2b22e61435,4ff2ba97c62b9ffbee3f730604c9bc96cd717998ff352080b0ee3b2b22e61435,INTACT,size+sha256 match signed manifest
T1,WS30.DWX,202511,True,5968434,5968434,0b2688d8a9c54768f6f7d4d837e9ec406878a913353aa8812a2ddaf83ee238e4,0b2688d8a9c54768f6f7d4d837e9ec406878a913353aa8812a2ddaf83ee238e4,INTACT,size+sha256 match signed manifest
T1,XAGUSD.DWX,202510,True,14550261,14550261,45041f21df577ca6f99ac296bb84ccb55994797b8f22a9bfcb4d6c4327046276,45041f21df577ca6f99ac296bb84ccb55994797b8f22a9bfcb4d6c4327046276,INTACT,size+sha256 match signed manifest
T1,XAGUSD.DWX,202511,True,12164448,12164448,9a19241f551eeefb8727f34330b7da7b291f5f797b4905f8753cb3d27c4f7fc5,9a19241f551eeefb8727f34330b7da7b291f5f797b4905f8753cb3d27c4f7fc5,INTACT,size+sha256 match signed manifest
T1,XAUUSD.DWX,202510,True,31927474,31927474,1f54ebc3f9732daa50e5bf5437abec8f88d3096899e8026668891bfb82fe8f22,1f54ebc3f9732daa50e5bf5437abec8f88d3096899e8026668891bfb82fe8f22,INTACT,size+sha256 match signed manifest
T1,XAUUSD.DWX,202511,True,24094856,24094856,695e05a573f0af2fad8fd06f9e45564158d57fa53a7a6f3a051ddeaf035716ef,695e05a573f0af2fad8fd06f9e45564158d57fa53a7a6f3a051ddeaf035716ef,INTACT,size+sha256 match signed manifest
T1,XBRUSD.DWX,202510,False,,,,,UNVERIFIABLE,manifest has no entry for this symbol/month
T1,XBRUSD.DWX,202511,False,,,,,UNVERIFIABLE,manifest has no entry for this symbol/month
T1,XNGUSD.DWX,202510,True,741484,741484,b2baec781dfd3b8b6ea41974004ebaadf299fb1cc6d2cf6742d3c4ee7d71a7bb,b2baec781dfd3b8b6ea41974004ebaadf299fb1cc6d2cf6742d3c4ee7d71a7bb,INTACT,size+sha256 match signed manifest
T1,XNGUSD.DWX,202511,True,805234,805234,cbd3ad10a082facb93fb25d95d45d5eab356e9664a60df3c7a5a738e9aef3444,cbd3ad10a082facb93fb25d95d45d5eab356e9664a60df3c7a5a738e9aef3444,INTACT,size+sha256 match signed manifest
T1,XTIUSD.DWX,202510,True,2753608,2753608,cdbdcb0ee251d64c722321d895c05c5a1b8a6a62a389d55f3db3aca4b77be885,cdbdcb0ee251d64c722321d895c05c5a1b8a6a62a389d55f3db3aca4b77be885,INTACT,size+sha256 match signed manifest
T1,XTIUSD.DWX,202511,True,2187171,2187171,6b1cf12ab60f905fa97fa06c1ad3cda4d646fe0d02ad91dc6311ff0abb438dd9,6b1cf12ab60f905fa97fa06c1ad3cda4d646fe0d02ad91dc6311ff0abb438dd9,INTACT,size+sha256 match signed manifest
