symbol,export_status,count_evidence,chunk_start_utc,chunk_end_utc,chunk_start_epoch,chunk_end_epoch,ticks_copied,status,intersects_gap,source_journal
CHFJPY.DWX,COMPLETE,USABLE,2025-11-05T03:00:00Z,2025-11-12T03:00:00Z,1762311600,1762916400,1145613,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CHFJPY.DWX_M1_chunks.csv
EURAUD.DWX,SHORT_READ,UNJUDGEABLE,2025-10-01T03:00:00Z,2025-10-08T03:00:00Z,1759287600,1759892400,256,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURAUD.DWX_M1_chunks.csv
EURAUD.DWX,SHORT_READ,UNJUDGEABLE,2025-10-08T03:00:00Z,2025-10-15T03:00:00Z,1759892400,1760497200,128,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURAUD.DWX_M1_chunks.csv
EURAUD.DWX,SHORT_READ,UNJUDGEABLE,2025-10-15T03:00:00Z,2025-10-22T03:00:00Z,1760497200,1761102000,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURAUD.DWX_M1_chunks.csv
EURAUD.DWX,SHORT_READ,UNJUDGEABLE,2025-10-22T03:00:00Z,2025-10-29T03:00:00Z,1761102000,1761706800,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURAUD.DWX_M1_chunks.csv
EURAUD.DWX,SHORT_READ,UNJUDGEABLE,2025-10-29T03:00:00Z,2025-11-05T03:00:00Z,1761706800,1762311600,128,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURAUD.DWX_M1_chunks.csv
EURAUD.DWX,SHORT_READ,UNJUDGEABLE,2025-11-05T03:00:00Z,2025-11-12T03:00:00Z,1762311600,1762916400,256,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURAUD.DWX_M1_chunks.csv
EURCAD.DWX,COMPLETE,USABLE,2025-10-01T03:00:00Z,2025-10-08T03:00:00Z,1759287600,1759892400,796864,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCAD.DWX_M1_chunks.csv
EURCAD.DWX,COMPLETE,USABLE,2025-10-08T03:00:00Z,2025-10-15T03:00:00Z,1759892400,1760497200,353491,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCAD.DWX_M1_chunks.csv
EURCAD.DWX,COMPLETE,USABLE,2025-10-15T03:00:00Z,2025-10-22T03:00:00Z,1760497200,1761102000,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCAD.DWX_M1_chunks.csv
EURCAD.DWX,COMPLETE,USABLE,2025-10-22T03:00:00Z,2025-10-29T03:00:00Z,1761102000,1761706800,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCAD.DWX_M1_chunks.csv
EURCAD.DWX,COMPLETE,USABLE,2025-10-29T03:00:00Z,2025-11-05T03:00:00Z,1761706800,1762311600,298375,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCAD.DWX_M1_chunks.csv
EURCAD.DWX,COMPLETE,USABLE,2025-11-05T03:00:00Z,2025-11-12T03:00:00Z,1762311600,1762916400,781022,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCAD.DWX_M1_chunks.csv
EURCHF.DWX,SHORT_READ,UNJUDGEABLE,2025-10-01T03:00:00Z,2025-10-08T03:00:00Z,1759287600,1759892400,128,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCHF.DWX_M1_chunks.csv
EURCHF.DWX,SHORT_READ,UNJUDGEABLE,2025-10-08T03:00:00Z,2025-10-15T03:00:00Z,1759892400,1760497200,128,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCHF.DWX_M1_chunks.csv
EURCHF.DWX,SHORT_READ,UNJUDGEABLE,2025-10-15T03:00:00Z,2025-10-22T03:00:00Z,1760497200,1761102000,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCHF.DWX_M1_chunks.csv
EURCHF.DWX,SHORT_READ,UNJUDGEABLE,2025-10-22T03:00:00Z,2025-10-29T03:00:00Z,1761102000,1761706800,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCHF.DWX_M1_chunks.csv
EURCHF.DWX,SHORT_READ,UNJUDGEABLE,2025-10-29T03:00:00Z,2025-11-05T03:00:00Z,1761706800,1762311600,128,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCHF.DWX_M1_chunks.csv
EURCHF.DWX,SHORT_READ,UNJUDGEABLE,2025-11-05T03:00:00Z,2025-11-12T03:00:00Z,1762311600,1762916400,0,ZERO_TICK_CHUNK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURCHF.DWX_M1_chunks.csv
EURGBP.DWX,COMPLETE,USABLE,2025-10-01T03:00:00Z,2025-10-08T03:00:00Z,1759287600,1759892400,449712,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURGBP.DWX_M1_chunks.csv
EURGBP.DWX,COMPLETE,USABLE,2025-10-08T03:00:00Z,2025-10-15T03:00:00Z,1759892400,1760497200,95251,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURGBP.DWX_M1_chunks.csv
EURGBP.DWX,COMPLETE,USABLE,2025-10-15T03:00:00Z,2025-10-22T03:00:00Z,1760497200,1761102000,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURGBP.DWX_M1_chunks.csv
EURGBP.DWX,COMPLETE,USABLE,2025-10-22T03:00:00Z,2025-10-29T03:00:00Z,1761102000,1761706800,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURGBP.DWX_M1_chunks.csv
EURGBP.DWX,COMPLETE,USABLE,2025-10-29T03:00:00Z,2025-11-05T03:00:00Z,1761706800,1762311600,199991,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURGBP.DWX_M1_chunks.csv
EURGBP.DWX,COMPLETE,USABLE,2025-11-05T03:00:00Z,2025-11-12T03:00:00Z,1762311600,1762916400,469078,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURGBP.DWX_M1_chunks.csv
EURJPY.DWX,SHORT_READ,UNJUDGEABLE,2025-10-01T03:00:00Z,2025-10-08T03:00:00Z,1759287600,1759892400,256,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\EURJPY.DWX_M1_chunks.csv
