ea_id,symbol,build_hash,setfile_hash,gate,phase,n,pass,econ_fail,infra,invalid,stale,other,valid
QM5_10025,NZDUSD.DWX,7ea6c83f7dae633c2602c6e0d00fecb536a6e9457146a90614c1de506a3baae0,686b729e97e2bf67091cd4e000c07e565ca10cd08ddf838c47506ea47d76a333,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10025,NZDUSD.DWX,9bf2691d4af0a57d553711c37ffceadb513b303e710a25f455c8f2e211eecfcc,de22081e3c47696bc9ce8e60c575f4e1506621616995e8249e4305578037a0fe,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10025,NZDUSD.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,83ca9ea508a5ff32cd8d1308cc4a7c048cfc54b53d4a4f8111861eda48105bdb,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10025,SP500.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,6674319341412bc526ff55cf8e85870cb1dc6aee146c25e2efaf8ef540539d4b,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10025,UK100.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,20d33d9220c33a6c45d4acfaec08b5033e0ce96d5dc285fbeededfec615e5804,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10025,USDCAD.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,d1f3c4daf99015a50858f9080835f318e2016789baca38383b5a3ebed8365663,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10025,USDCHF.DWX,7ea6c83f7dae633c2602c6e0d00fecb536a6e9457146a90614c1de506a3baae0,35a5585fee4ad61d8bc0ff2cfa24223b6e54c72b6489523f0a992f7ddc9cc620,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10025,USDCHF.DWX,9bf2691d4af0a57d553711c37ffceadb513b303e710a25f455c8f2e211eecfcc,571be487c4d8688c79d3b5c0644624ef83579c099d32e856ad2519828567f413,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10025,USDCHF.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,dee8cc5be5794c64d442fd15c675b197da37b2028efd9d04dde7c59a368b5398,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10025,USDJPY.DWX,030e7acc63a735a514c5490000eed4d4bf062bf8f6ee8e4da34a601da8f9ba1e,9567e0f91b1e6892eadc822a2f6ee4f06482a80ba30c50ccfbf4a205d2acda70,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10025,USDJPY.DWX,7ea6c83f7dae633c2602c6e0d00fecb536a6e9457146a90614c1de506a3baae0,5581072f0bd173453124086013d8b8f9ff29dc8ee63d5983c43eef27152fdbc0,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10025,USDJPY.DWX,9bf2691d4af0a57d553711c37ffceadb513b303e710a25f455c8f2e211eecfcc,2d8a1ba1871c229d00b49458dcbd6dbd152d24c170d76404bace39cdea3be53c,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10025,USDJPY.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,56981626be9cad08bde598f7d49dbc7e2ff0fd7aa92c396101b2693d03d16a6c,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10025,WS30.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,2f4d9ec0f11780dffbbc9946be158f931ed29a0f3e4f52061e214545bb0708d3,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10025,XAGUSD.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,9a4ef6e18086279bef9eb00d8fe1c1b4a8289c879dbcfefab769145b140165b3,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10025,XAUUSD.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,13f6bf00fb3399cc71c975f31a520d6bbb6d4d6c271ceae29ec4580a0d38faa9,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10025,XNGUSD.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,f4eb89061912aa83c07a04178375ca8a3809460c4ee0bf56c2830b313c409bac,Q02,Q02,1,0,1,0,0,0,0,0
