symbol,execution,p3_status,failed_checks,close_delta_p95_points,close_delta_p95_limit_points,session_coverage,explanation,dukascopy_csv_sha256,dwx_csv_sha256
EURGBP.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,4.000000000004,10.552632,0.7039864291772688,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",0eb428d6fef6058f1e07fdd14d1e020fada780a29cea6367e57b4c235eb8c541,ee20b4017809c90adba893814a32ec4f36167065ac0800f7e31a55ee57fbbbc0
EURJPY.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: EURJPY.DWX,,
EURNZD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,17.000000000022553,60.88374525,0.7321332327260968,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",1e6812df71c2bb3b8eb5ccf8a5f45facb7e014f2aee3552384882612debf3433,55d321b3484dd2014ca906f0a1274e0c6cc9268e699746b5dad1a5b1fc8d0581
EURUSD.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: EURUSD.DWX,,
GBPAUD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,17.000000000022553,49.27905,0.7329134366925064,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",084f9ce0e3c8777bb050b0b584811de43984a01aaf5cc8625605f2cc81d08735,22630089e1a4ee0bc0f5e5cefbd70502fa8f03fdb12dbd1464445dc79fe22dde
GBPCAD.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: GBPCAD.DWX,,
GBPCHF.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,7.0000000000014495,23.580000000000002,0.7322105398402535,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",9c6183282160658d925004f5abf2fb663e49e550a860200e58d6afded829f07e,b5b524e35ea27805daf82841ec6938fb5f02d20a155180680c491ccc027e4751
GBPJPY.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,8.99999999998613,22.682433,0.7302824278964359,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",80871df6fd1922c0618ced1eef2b4852009e235ac7d4ecb1bd74b110a36095db,b19f4785f81e8c7606c3374a160265533405abce968ed0078259fc9fa3e78630
GBPNZD.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: GBPNZD.DWX,,
GBPUSD.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: GBPUSD.DWX,,
GDAXI.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: GDAXI.DWX,,
NDX.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: NDX.DWX,,
NZDCAD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,13.000000000007448,35.2241385,0.6973826589099947,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",70064ca4e8895c72d17f029b537bdf2410e98621764849913999d2272fceb151,849e076a5230735adb25e81f1fc2c811edef9ce4e5fd2d003a093d90e4f4328d
NZDCHF.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,7.000000000001449,25.071429000000002,0.7001646037751983,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",e28dee687b7e7d2c1fb209836e6e4eb6c2580997a93f085858404652692d5164,bef0d07a1518d3235901307422ed0bdbcc7f426484608a250d83cd8440fca707
NZDJPY.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,7.000000000005002,13.200000000000001,0.7017654544093588,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",a9300473b9286e0f60d03b3821365e70cb8dcb49a587bc05533026049a559469,0fa836510c36a7f1c0feda729bad7cc845237ba79497dcfb6ae1df6d29d77229
NZDUSD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,4.999999999999449,14.911764000000002,0.7017302525523912,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",14257b79ad7da1dc6ad1dddd6be80c293ca06eb4154cf65f5e6b3381600f5673,420e9630fe1df0250b143a4feee7a6d2bff6091de5726383383c57ec714f62c9
SP500.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: SP500.DWX,,
UK100.DWX,EXECUTED,FAIL,close_delta_p95;dst_zero_second_offset;required_overlap_window;session_coverage,223.2300000000032,32.955,0.9444338384440998,"P3 executed; close_delta_p95, dst_zero_second_offset, required_overlap_window, session_coverage failed",b8c88c439fcd90c512f6b316e34afbb1578d796047534820302c8a587e593ec7,572f48044bb22c1bfae2e842290a6b4125fafde535ef0d84b8ea72a2a1bd8018
USDCAD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,6.999999999979244,18.8676465,0.7290803822733062,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",cf8edafee51641b28c1eaac736003a84b67ac1187227350de589d6b68a5d7d2d,a046a234285c21cb0369a368b66ac3bc72c9737891beec7918129cb4cf816f2e
USDCHF.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,4.000000000004,11.82,0.6885572993209684,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",27a07b6c09e1822935e1c7ba593db338f4d6eb4666bf80206974255ed88c5c1a,2029e3f9289039c394533bf96df8d4897d2e8d8c4383fe1c154108f25d260569
USDJPY.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: USDJPY.DWX,,
WS30.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: WS30.DWX,,
XAGUSD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,34.000000000006025,48.681426,0.957866943491605,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",d9e247deb0cbc3d55d68b1887105b88217bd77524c8a28ce0788d5d581e7cc6e,6529d14e0a25cdf08936de1e34959bcfd17c4c3f2f2e87ea0fc1c2ddd22356e8
XAUUSD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,31.500000000005457,95.067954,0.9633643684228259,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",ba0b5d8c51c5292d3515554655d517a4aa53f94026ace483c60df751e1f5c68b,8c37e2acb5c8c99829f6c7682c5c36cd08a662b9687c029126452626929eaadd
XNGUSD.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: XNGUSD.DWX,,
XTIUSD.DWX,EXECUTED,FAIL,close_delta_p95;dst_zero_second_offset;required_overlap_window;session_coverage,38.50000000000051,7.5,0.9577620393306121,"P3 executed; close_delta_p95, dst_zero_second_offset, required_overlap_window, session_coverage failed",03219519a19ef8ff93588ddcee58590196a55900a278bdeb4931918838357903,05ee25365183d5459516320bf0ac3c08fb453c04cbc63382650f521c4070a90c
