source,source_content_sha256,source_row_number,row_identity_sha256,currency,impact,event_name,authority,expected_release_et,expected_local_iso,stored_utc,expected_utc,delta_minutes,native_confirmation,native_utc
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44202,52da0fb8a3e96d33467e241f2d205a9a60915b3f38cbc6906df9689ca3f8db2e,USD,HIGH,Pending Home Sales m/m,NAR,10:00,2024-06-27T10:00:00-04:00,2024-06-27T13:00:00Z,2024-06-27T14:00:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44275,9c508cd3a4f557a6992c13dc00401b0ea222d857679dd68c2ae8d6ff88346a69,USD,HIGH,JOLTS Job Openings,BLS,10:00,2024-07-02T10:00:00-04:00,2024-07-02T13:00:00Z,2024-07-02T14:00:00Z,-60,EXACT_MINUS_60_MIN,2024-07-02T14:00:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44393,38edeaad56589f33ceb6c59175fcf9a3492569db069078d7c282921e7a591459,USD,HIGH,Core CPI m/m,BLS,08:30,2024-07-11T08:30:00-04:00,2024-07-11T11:30:00Z,2024-07-11T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-07-11T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44414,93f85e0074100e02f1a1817937f1e0da6715cfb5076de2e73bfd018c912c5052,USD,HIGH,Prelim UoM Consumer Sentiment,UMICH,10:00,2024-07-12T10:00:00-04:00,2024-07-12T13:00:00Z,2024-07-12T14:00:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44488,2dc52a7b5181dbec97275165240f7084a7f2faca2e7a5acfcb783b317ad1a27a,USD,HIGH,Unemployment Claims,DOL,08:30,2024-07-18T08:30:00-04:00,2024-07-18T11:30:00Z,2024-07-18T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-07-18T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44556,3ffafe6cd78e663341f3a5eab7715e84a353e477401898caf6f0f0af3e1a673a,USD,HIGH,Advance GDP q/q,BEA,08:30,2024-07-25T08:30:00-04:00,2024-07-25T11:30:00Z,2024-07-25T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-07-25T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44566,24d29225dd89cb90c021493ffbb37575fa18c2e767f6b3eaf2d23a43d57a236e,USD,HIGH,Core PCE Price Index m/m,BEA,08:30,2024-07-26T08:30:00-04:00,2024-07-26T11:30:00Z,2024-07-26T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-07-26T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44621,de62d91063c0cdb0fe7b5b3531f0493ca18ef7d74795b99d0e4de2cefc838e98,USD,HIGH,Pending Home Sales m/m,NAR,10:00,2024-07-31T10:00:00-04:00,2024-07-31T13:00:00Z,2024-07-31T14:00:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44652,2db742f4d4af2796eaf87ba325684126197707e8f999385f55955cde668e9922,USD,HIGH,Unemployment Claims,DOL,08:30,2024-08-01T08:30:00-04:00,2024-08-01T11:30:00Z,2024-08-01T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-08-01T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44673,391860890f1fe69b3c95651ebae70a867c1e5181823b77eb5659805bd997eb0f,USD,HIGH,Average Hourly Earnings m/m,BLS,08:30,2024-08-02T08:30:00-04:00,2024-08-02T11:30:00Z,2024-08-02T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-08-02T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44739,cdcbec1b2d5280a1a6f2e5cd50def6d41fe3cf5135f44bac91a3b6762f375175,USD,HIGH,Unemployment Claims,DOL,08:30,2024-08-08T08:30:00-04:00,2024-08-08T11:30:00Z,2024-08-08T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-08-08T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44773,87c491eb670a783572791aff8c64b3ca48262fbefd31a16ce8881e230a282bc5,USD,HIGH,Core PPI m/m,BLS,08:30,2024-08-13T08:30:00-04:00,2024-08-13T11:30:00Z,2024-08-13T12:30:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44793,31722c14212338b3016a5458f0b640135f51036c249df732ec557e8670659a99,USD,HIGH,Core CPI m/m,BLS,08:30,2024-08-14T08:30:00-04:00,2024-08-14T11:30:00Z,2024-08-14T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-08-14T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44910,0c07d7439da0685cbe6237ccd15eba1571773368409f58945055b95e323b9535,USD,HIGH,Unemployment Claims,DOL,08:30,2024-08-22T08:30:00-04:00,2024-08-22T11:30:00Z,2024-08-22T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-08-22T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,45062,48d7d248b04737498ff6cdb0f480f36a2a1b1f5ff89836bd304d49161c8b0295,USD,HIGH,JOLTS Job Openings,BLS,10:00,2024-09-04T10:00:00-04:00,2024-09-04T13:00:00Z,2024-09-04T14:00:00Z,-60,EXACT_MINUS_60_MIN,2024-09-04T14:00:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,45150,f6208dba6cd274e2b66ac7d719845839a64126ae884ea1286ed06a5094774a96,USD,HIGH,Core CPI m/m,BLS,08:30,2024-09-11T08:30:00-04:00,2024-09-11T11:30:00Z,2024-09-11T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-09-11T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,45265,34bdf0935f1a42b453751833cc217714d23d6e46bfbd47fa244a51f857df1d30,USD,HIGH,Unemployment Claims,DOL,08:30,2024-09-19T08:30:00-04:00,2024-09-19T11:30:00Z,2024-09-19T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-09-19T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,47841,7fbf7c613402ad2f4e03ff7079f7bb148dd7e5398102c7df3bdd68d3ecf84297,USD,HIGH,Final GDP q/q,BEA,08:30,2025-03-27T08:30:00-04:00,2025-03-27T11:30:00Z,2025-03-27T12:30:00Z,-60,EXACT_MINUS_60_MIN,2025-03-27T12:30:00Z
