event_id,event_time_utc,event_names,symbol,pre_high,pre_low,pre_range_pts,post_high,post_low,post_range_pts,expansion_ratio,breakout_dir,entry_price,mfe_15m_pts,mae_15m_pts,mfe_30m_pts,mae_30m_pts,mfe_60m_pts,mae_60m_pts,gross_pnl_pts,net_pnl_pts,era
E2_00705,2020-01-29T19:00:00Z,Fed Interest Rate Decision,SP500.DWX,3292.1,3285.8,6.3,3295,3286.3,8.7,1.381,1,3292.1,5.7,2.7,5.7,2.7,5.7,3,-5.6,-6.6,IS
E2_00706,2020-01-30T13:30:00Z,Initial Jobless Claims,SP500.DWX,3254.5,3245.7,8.8,3259,3250.3,8.7,0.9886,1,3254.5,6.8,1.9,6.8,1.9,6.8,1.9,-3.3,-4.3,IS
E2_00707,2020-02-06T13:30:00Z,Initial Jobless Claims,SP500.DWX,3349,3344.2,4.8,3350.2,3344.2,6,1.25,1,3349,1.8,0.9,1.8,3.7,1.8,4.2,-3.3,-4.3,IS
E2_00708,2020-02-07T13:30:00Z,Nonfarm Payrolls,SP500.DWX,3341.3,3334.5,6.8,3345,3330.6,14.4,2.1176,0,3337.9,4.4,10,4.4,10,4.4,10,-3.4,-4.4,IS
E2_00709,2020-02-13T13:30:00Z,CPI m/m;Initial Jobless Claims,SP500.DWX,3362.4,3354.2,8.2,3366.4,3359.7,6.7,0.8171,1,3362.4,2,1.5,4.3,1.5,5.2,1.5,-0.4,-1.4,IS
E2_00710,2020-02-14T13:30:00Z,Retail Sales m/m,SP500.DWX,3385.8,3382.5,3.3,3384,3375.5,8.5,2.5758,-1,3382.5,0.5,5,0.5,8,0.5,8,4.7,3.7,IS
E2_00711,2020-02-20T13:30:00Z,Initial Jobless Claims,SP500.DWX,3382.8,3379.8,3,3383.1,3375.8,7.3,2.4333,0,3381.3,3.3,4,3.3,4,3.3,4,-1.5,-2.5,IS
E2_00712,2020-02-27T13:30:00Z,Initial Jobless Claims,SP500.DWX,3076.2,3061.4,14.8,3073.7,3052.7,21,1.4189,0,,4,3.5,4,7.8,4,17,0,0,IS
E2_00713,2020-03-03T15:00:00Z,Fed Interest Rate Decision,SP500.DWX,3096.6,3047.8,48.8,3137.8,3057.3,80.5,1.6496,1,3096.6,79.5,1,79.5,1,79.5,1,6.5,5.5,IS
E2_00714,2020-03-05T13:30:00Z,Initial Jobless Claims,SP500.DWX,3064,3038,26,3054.5,3032.5,22,0.8462,-1,3038,5.7,3.8,12.7,3.8,12.7,9.3,-9.8,-10.8,IS
E2_00715,2020-03-06T13:30:00Z,Nonfarm Payrolls,SP500.DWX,2941,2916,25,2943.7,2907.2,36.5,1.46,1,2941,17.4,2.3,17.4,7.3,17.4,19.1,-12.2,-13.2,IS
E2_00716,2020-03-11T12:30:00Z,CPI m/m,SP500.DWX,2802.1,2781.1,21,2804.6,2765.1,39.5,1.881,-1,2781.1,4.8,12,4.8,19.5,20,19.5,-22,-23,IS
E2_00717,2020-03-17T12:30:00Z,Retail Sales m/m,SP500.DWX,2451.2,2409.4,41.8,2454.9,2425.1,29.8,0.7129,0,,7.4,13.5,10,14.3,12.2,17.6,0,0,IS
E2_00718,2020-03-19T12:30:00Z,Initial Jobless Claims,SP500.DWX,2374,2338.7,35.3,2390,2338.8,51.2,1.4504,0,,26.5,3,40.2,3,48.2,3,0,0,IS
E2_00719,2020-03-26T12:30:00Z,Initial Jobless Claims,SP500.DWX,2451.2,2415.2,36,2505,2411.7,93.3,2.5917,0,2433.2,40,6.8,55.5,6.8,86.5,6.8,-18,-19,IS
